,Column1,Column2,Column3,Year,Name,Time
Event,Year,Name,Time,,,
,2011,"Lindsay Loe, Columbia (Hunters) 11",5-0,,,
,2010,"Laura Strom, Lopez Island 12",5-2,,,
,2009,"Laura Strom, Lopez Island 11",4-11,,,
,2008,"Laura Strom, Lopez Island 10",5-2,,,
,2007,"Laura Strom, Lopez Island 9",5-0,,,
,Date,Name,Time,,,
,Class 4A,,,,,
,2024,"Jacqueline Jones, Inglemoor 11",12-9,,,
,2023,"Landry Allen, Hanford 10",12-7,,,
,2022,"Isabella Nilsen, Newport (Bellevue) 12",13-1½,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Ashleigh Helms, Newport (Bellevue) 12",13-0,,,
,2018,"Kim Kramers, Inglemoor 12",12-7½,,,
,2017,"Ellie Talius, Eastlake 10",12-6,,,
,2016,"Caleigh Lofstead, Camas 12",12-3,,,
,2015,"Caleigh Lofstead, Camas 11",12-7,,,
,2014,"Carrie Jacka, Mead 11",12-0,,,
,2013,"Elizabeth Quick, Richland 12",12-0,,,
,2012,"Elizabeth Quick, Richland 11",12-3,,,
,2011,"Eva Perry, Issaquah 11",11-3,,,
,2010,"Tasha Clark, Mead 12",12-0,,,
,2009,"Jessica Christian, Richland 12",11-9,,,
,2008,"Jessica Christian, Richland 11",12-0,,,
,2007,"Melissa Peaslee, Gig Harbor 12",11-9,,,
,2006,"Kjersti Gedde, Olympia 10",11-6,,,
,2005,"Kristi Metzger, Shelton 12",11-0,,,
,2004,"Doria Holbrook, Eisenhower 12",12-0,,,
,2003,"Stevie Marshalek, Kentlake 12",12-6,,,
,2002,"Emily Enders, Snohomish",12-3,,,
,2001,"Sara Rowse, Richland",12-4,,,
,2000,"Brenda Zittle, Bellarmine",10-6,,,
,Class 3A,,,,,
,2024,"Ella McRitchie, Bainbridge 12",14-3,,,
,2023,"Hana Moll, Capital 12",14-7,,,
,2022,"Amanda Moll, Capital 11",14-6,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Chloe Cunliffe, West Seattle 12",14-0,,,
,2018,"Chloe Cunliffe, West Seattle 11",13-8½,,,
,2017,"Allyson Ely, Edmonds-Woodway 12",12-6,,,
,2016,"Chinne Okoronkow, Mountlake Terrace 12",13-0,,,
,2015,"Chinne Okoronkwo, Mountlake Terrace 11",13-3,,,
,2014,"Marissa Berry, Southridge 11",12-3,,,
,2013,"Courtney Bray, Mt Spokane 12",12-7,,,
,2012,"Jennifer DeBellis, Columbia River 12",12-6,,,
,2011,"Jennifer DeBellis, Columbia River 11",12-6,,,
,2010,"Georgia Reynolds, Mount Si 12",11-0,,,
,2009,"Kaycee Smith, Mt Spokane 12",10-6,,,
,2008,"Kara Kitchens, Kelso 12",11-9,,,
,2007,"Jordan Roskelley, Mt Spokane 12",12-3,,,
,2006,"Laura Schvaneveldt, Interlake 12",12-0,,,
,2005,"Laura Schvaneveldt, Interlake 11",12-0,,,
,2004,"Laura Schvaneveldt, Interlake 10",12-0,,,
,2003,"Alli Moore, Sehome 11",12-2,,,
,2002,"Courtney Doughty, Burlington 10",10-9,,,
,2001,"Tamara Diles, Newport",12-0,,,
,2000,"Ashley Wildhaber, Chehalis",11-3,,,
,Class 2A,,,,,
,2024,"Josie Anselmo, Shadle Park 11",11-0,,,
,2023,"Josie Anselmo, Shadle Park 10",11-0,,,
,2022,"Avril Wilson, Cedarcrest 12",12-6,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Sophia Van Wormer, Cheney 11",11-6,,,
,2018,"Kelsey Bassett, Granite Falls 12",12-6,,,
,2017,"Madison Licari, Fife 11",11-9,,,
,2016,"Abby Weiler, R.A. Long 12",13-0,,,
,2015,"Kirsten Webber, Squalicum 11",13-3,,,
,2014,"Kirsten Webber, Squalicum 10",13-0,,,
,2013,"Tiffany Richeson, Burlington-Edison 12",12-3,,,
,2012,"Kirsten Webber, Squalicum 9",11-9,,,
,2011,"Bailee Jacka, Deer Park 11",10-9,,,
,2010,"Robin Taylor, Blaine 12",11-3,,,
,2009,"Robin Taylor, Blaine 11",11-0,,,
,2008,"Robin Taylor, Blaine 10",11-3,,,
,2007,"Heidi Dorling, Black Hills 12",12-0,,,
,2006,"Ali Forsyth, Lakeside (9mi) 11",10-6,,,
,2005,"Ali Forsyth, Lakeside (9mi) 10",9-9,,,
,2004,"Stephanie Whitsel, Chelan 12",11-3,,,
,2003,"Stephanie Whitsel, Chelan 11",10-9,,,
,2002,"Stephanie Whitsel, Chelan 10",10-6,,,
,2001,"Andrea McGillen, South Whidbey",10-9,,,
,2000,"Whitney Omlin, Quincy",10-9,,,
,Class 1A,,,,,
,2023,"Regan Parnell, King's 12",10-6,,,
,2022,"Regan Parnell, King's 11",10-0,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Julia Armstrong, Cascade (Leav) 12",11-3,,,
,2018,"Hana Hill, Lakeside (9Mi) 9",12-6,,,
,2017,"Elli Kimes, Cashmere 12",12-3,,,
,2016,"Ellie Kimes, Cashmere 11",13-0½,,,
,2015,"Samantha Blake, Lakeside (9Mi) 11",11-9,,,
,2014,"Olivia Adams, Blaine 11",11-6,,,
,2013,"Olivia Adams, Blaine 10",11-0,,,
,2012,"Anandae Clark, Lakeside 12",12-7,,,
,2011,"Anandae Egland, Lakeside (9 mi) 10",11-6,,,
,2010,"Anandae Clark, Lakeside 10",10-6,,,
,2009,"Anandae Egland, Lakeside 9",10-9,,,
,2008,"Alice Meroni, Kiona-Benton 12",10-0,,,
,2007,"Loreah Winlow, Lakeside (9mi) 11",11-3,,,
,2006,"Valan Calvo, Cedar Park Chr 10",10-6,,,
,2005,"Maria Savoca, Rainier 12",10-3,,,
,2004,"Maria Savoca, Rainier 11",9-9,,,
,2003,"Audrea Nolan, Seattle Academy 12",10-6,,,
,2002,"Jessica Sines, Freeman 11",10-0,,,
,2001,"Jessica Sines, Freeman 10",8-9,,,
,2000,"Becca Gillespy, King's",9-4,,,
,Class 2B,,,,,
,2023,"Ella Marvin, Rainier 10",9-9,,,
,2022,"Sydney Kinch, Lind-Ritzville 12",10-0,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Brooke Friese, Willapa Valley 12",11-0,,,
,2018,"Tawni Blankenship, North Beach 12",11-0,,,
,2017,"Tawni Blankenship, North Beach 11",11-0,,,
,2016,"Scout Cai, Colfax 12",12-4,,,
,2015,"Scout Cai, Colfax 11",11-6,,,
,2014,"Scout Cai, Colfax 10",11-0,,,
,2013,"Lauren Friese, Willapa Valley 11",9-6,,,
,2012,"Michaela Huber, Willapa Valley 11",9-6,,,
,2011,"Kylie Whitener, Mt Vernon Chr 12",9-3,,,
,2010,"Colleen Newell, La Salle 11",9-6,,,
,2009,"Kari Hunt, Vancouver Chr 12",8-9,,,
,2008,"Haleigh Raymond, Willapa Valley 12",10-0,,,
,2007,"Chelsi Friese, Willapa Valley 12",11-9,,,
,2006,"Chelsi Friese, Willapa Valley 11",11-3,,,
,2005,"Chelsi Friese, Willapa Valley 10",9-9,,,
,2004,"Samantha Frazzin, Morton 12",9-0,,,
,2003,"Brittny Gudmunson, MtVernon Chr 12",9-9,,,
,2002,"Tina Terry, Valley Christian 12",10-3,,,
,2001,"Kayla Kennedy, Ritzville",9-3,,,
,2000,"Carly Goltiani, Kittitas",9-6,,,
,Class 1B,,,,,
,2023,"Lauren McGough, Willapa Valley 12",12-3,,,
,2022,"Lauren McGough, Willapa Valley 11",10-6,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Brooklyn Emerson, Glenwood 11",9-9,,,
,2018,"Sydney Watko, Pomeroy 10",9-3,,,
,2017,"Sydney Watko, Pomeroy 9",8-9,,,
,2016,"Lanessa Simon, Odessa-Harrington 12",9-9,,,
,2015,"Melyssa Whitener, Mt Vernon Chr 12",10-3,,,
,2014,"Melyssa Whitener, Mt Vernon Chr 11",8-6,,,
,2013,"Jamie Venema, Bickleton 12",8-6,,,
,2012,"Jamie Venema, Bickleton 11",8-0,,,
,2011,"Brielle Hocking, Pomeroy 12",9-6,,,
,2010,"McKenzie Zoller, Ttout Lake-Glenwood 12",9-0,,,
,2009,"McKenzie Zoller, Trout Lake-Glenwood 11",9-0,,,
,2008,"Kindra VanLaar, Trout Lake-Glenwood 12",9-6,,,
,2007,"Kindra VanLaar, Trout Lake-Glenwood 11",8-6,,,
