"State","Year","Gender","Event","Class","Mark"
"Michigan","1989","Boys","Pole Vault","CLASS D","13-9"
"Michigan","1989","Boys","High Jump","CLASS D","6-5"
"Michigan","1989","Boys","1600m","CLASS D","4:27.8"
"Michigan","1989","Boys","800m","CLASS D","1:58.6"
"Michigan","1989","Boys","100m","CLASS D",":10.8"
"Michigan","1988","Boys","Pole Vault","CLASS D","14-0"
"Michigan","1988","Boys","High Jump","CLASS D","6-6"
"Michigan","1988","Boys","1600m","CLASS D","4:28.02"
"Michigan","1988","Boys","800m","CLASS D","2:00.59"
"Michigan","1988","Boys","100m","CLASS D",":11.11"
"Michigan","1987","Boys","Pole Vault","CLASS D","13-1"
"Michigan","1987","Boys","High Jump","CLASS D","6-4"
"Michigan","1987","Boys","1600m","CLASS D","4:33.10"
"Michigan","1987","Boys","800m","CLASS D","1:57.90"
"Michigan","1987","Boys","100m","CLASS D",":10.96"
"Michigan","1986","Boys","Pole Vault","CLASS D","13-3"
"Michigan","1986","Boys","High Jump","CLASS D","6-8"
"Michigan","1986","Boys","1600m","CLASS D","4:23.83"
"Michigan","1986","Boys","800m","CLASS D","1:58.31"
"Michigan","1986","Boys","100m","CLASS D",":11.20"
"Michigan","1985","Boys","Pole Vault","CLASS D","12-10"
"Michigan","1985","Boys","High Jump","CLASS D","6-7"
"Michigan","1985","Boys","1600m","CLASS D","4:26.90"
"Michigan","1985","Boys","800m","CLASS D","2:00.21"
"Michigan","1985","Boys","100m","CLASS D",":11.14"
"Michigan","1984","Boys","Pole Vault","CLASS D","13-4"
"Michigan","1984","Boys","High Jump","CLASS D","6-7 3/4"
"Michigan","1984","Boys","1600m","CLASS D","4:24.57"
"Michigan","1984","Boys","800m","CLASS D","2:01.31"
"Michigan","1984","Boys","100m","CLASS D",":10.81"
"Michigan","1983","Boys","Pole Vault","CLASS D","13-2"
"Michigan","1983","Boys","High Jump","CLASS D","6-7 1/4"
"Michigan","1983","Boys","1600m","CLASS D","4:15.1"
"Michigan","1983","Boys","800m","CLASS D","1:58.2"
"Michigan","1983","Boys","100m","CLASS D",":11.0"
"Michigan","1982","Boys","Pole Vault","CLASS D","13-7"
"Michigan","1982","Boys","High Jump","CLASS D","6-6"
"Michigan","1982","Boys","1600m","CLASS D","4:26.0"
"Michigan","1982","Boys","800m","CLASS D","1:57.2"
"Michigan","1982","Boys","100m","CLASS D",":11.2"
"Michigan","1981","Boys","Pole Vault","CLASS D","13-7"
"Michigan","1981","Boys","High Jump","CLASS D","6-4 1/2"
"Michigan","1981","Boys","1600m","CLASS D","4:29.4"
"Michigan","1981","Boys","800m","CLASS D","1:58.4"
"Michigan","1981","Boys","100m","CLASS D",":11.1"
"Michigan","1980","Boys","Pole Vault","CLASS D","13-10"
"Michigan","1980","Boys","High Jump","CLASS D","6-4 1/2"
"Michigan","1980","Boys","1600m","CLASS D","4:37.8"
"Michigan","1980","Boys","800m","CLASS D","1:57.9"
"Michigan","1980","Boys","100m","CLASS D",":10.5"
"Michigan","1999","Boys","Pole Vault","CLASS A","15-2"
"Michigan","1999","Boys","High Jump","CLASS A","6-6"
"Michigan","1999","Boys","1600m","CLASS A","4:10.45"
"Michigan","1999","Boys","800m","CLASS A","1:53.10"
"Michigan","1999","Boys","100m","CLASS A",":10.60"
"Michigan","1998","Boys","Pole Vault","CLASS A","15-3"
"Michigan","1998","Boys","High Jump","CLASS A","6-9"
"Michigan","1998","Boys","1600m","CLASS A","4:12.80"
"Michigan","1998","Boys","800m","CLASS A","1:53.79"
"Michigan","1998","Boys","100m","CLASS A",":10.70"
"Michigan","1997","Boys","Pole Vault","CLASS A","16-6"
"Michigan","1997","Boys","High Jump","CLASS A","7-0"
"Michigan","1997","Boys","1600m","CLASS A","4:16.99"
"Michigan","1997","Boys","800m","CLASS A","1:54.80"
"Michigan","1997","Boys","100m","CLASS A",":10.81"
"Michigan","1996","Boys","Pole Vault","CLASS A","15-9"
"Michigan","1996","Boys","High Jump","CLASS A","6-6"
"Michigan","1996","Boys","1600m","CLASS A","4:14.11"
"Michigan","1996","Boys","800m","CLASS A","1:55.64"
"Michigan","1996","Boys","100m","CLASS A",":10.92"
"Michigan","1995","Boys","Pole Vault","CLASS A","15-1"
"Michigan","1995","Boys","High Jump","CLASS A","6-4"
"Michigan","1995","Boys","1600m","CLASS A","4:17.2"
"Michigan","1995","Boys","800m","CLASS A","1:54.64"
"Michigan","1995","Boys","100m","CLASS A",":11.2"
"Michigan","1994","Boys","Pole Vault","CLASS A","14-6"
"Michigan","1994","Boys","High Jump","CLASS A","6-11"
"Michigan","1994","Boys","1600m","CLASS A","4:18.3"
"Michigan","1994","Boys","800m","CLASS A","1:55.7"
"Michigan","1994","Boys","100m","CLASS A",":10.3"
"Michigan","1993","Boys","Pole Vault","CLASS A","16-0 1/2"
"Michigan","1993","Boys","High Jump","CLASS A","6-8"
"Michigan","1993","Boys","1600m","CLASS A","4:17.22"
"Michigan","1993","Boys","800m","CLASS A","1:55.46"
"Michigan","1993","Boys","100m","CLASS A",":10.85"
"Michigan","1992","Boys","Pole Vault","CLASS A","14-10"
"Michigan","1992","Boys","High Jump","CLASS A","6-10"
"Michigan","1992","Boys","1600m","CLASS A","4:15.76"
"Michigan","1992","Boys","800m","CLASS A","1:54.16"
"Michigan","1992","Boys","100m","CLASS A",":11.02"
"Michigan","1991","Boys","Pole Vault","CLASS A","14-7"
"Michigan","1991","Boys","High Jump","CLASS A","6-11"
"Michigan","1991","Boys","1600m","CLASS A","4:12.74"
"Michigan","1991","Boys","800m","CLASS A","1:53.04"
"Michigan","1991","Boys","100m","CLASS A",":10.83"
"Michigan","1990","Boys","Pole Vault","CLASS A","14-11"
"Michigan","1990","Boys","High Jump","CLASS A","6-11"
"Michigan","1990","Boys","1600m","CLASS A","4:14.04"
"Michigan","1990","Boys","800m","CLASS A","1:52.73"
"Michigan","1990","Boys","100m","CLASS A",":10.69"
"Michigan","1999","Boys","Pole Vault","CLASS B","16-1"
"Michigan","1999","Boys","High Jump","CLASS B","6-9"
"Michigan","1999","Boys","1600m","CLASS B","4:19.64"
"Michigan","1999","Boys","800m","CLASS B","1:54.88"
"Michigan","1999","Boys","100m","CLASS B",":11.05"
"Michigan","1998","Boys","Pole Vault","CLASS B","15-4"
"Michigan","1998","Boys","High Jump","CLASS B","6-8"
"Michigan","1998","Boys","1600m","CLASS B","4:16.17"
"Michigan","1998","Boys","800m","CLASS B","1:54.00"
"Michigan","1998","Boys","100m","CLASS B",":10.92"
"Michigan","1997","Boys","Pole Vault","CLASS B","15-8"
"Michigan","1997","Boys","High Jump","CLASS B","6-9"
"Michigan","1997","Boys","1600m","CLASS B","4:19.10"
