"State","Year","Gender","Schools","Participation","Event","Mark","Mark.Note","Students","df","Count","Participation.Thousands"
"Wyoming",1978,"Boys",72,1400,"1600m",281.25918,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"High Jump",1.9304,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"Pole Vault",4.0386,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"100m",11.3776,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"800m",125.46804,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"1600m",283.74468,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"High Jump",1.9558,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"Pole Vault",4.0894,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"100m",11.67298,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"800m",123.767958,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"1600m",288.377652,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"High Jump",1.8288,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"Pole Vault",3.6576,NA,NA,17,19963,1.4
"California",1978,"Girls",597,13798,"100m",11.94648,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"100m",11.99024,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"100m",12.034,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"100m",12.04494,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"100m",12.0887,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"100m",12.17622,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"800m",127.15818,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"800m",129.7431,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"800m",130.04136,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"800m",130.14078,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"800m",130.93614,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"800m",131.13498,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"High Jump",1.778,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"High Jump",1.7526,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"High Jump",1.7272,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"High Jump",1.7018,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"High Jump",1.6764,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",283.29729,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",287.97003,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",290.346168,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",290.594718,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",290.723964,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",294.7803,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",295.97334,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",297.66348,NA,NA,2,1290825,13.798
"California",1978,"Girls",597,13798,"1600m",NA,NA,NA,2,1290825,13.798
"Florida",1978,"Girls",352,7980,"100m",12.1434,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"100m",12.1434,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"100m",12.1434,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"100m",12.7998,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"800m",133.32222,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"800m",136.40424,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"800m",148.23522,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"800m",144.05958,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"1600m",289.11336,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"1600m",297.96174,NA,NA,18,634643,7.98
"Florida",1978,"Girls",352,7980,"1600m",324.6063,NA,NA,18,634643,7.98
