State,Year,Gender,Schools,Participation
Washington,1982,Girls,302,7045
West Virginia,1982,Girls,110,2250
Wisconsin,1982,Girls,389,13277
Wyoming,1982,Girls,72,1450
Alabama,1983,Boys,208,3598
Alaska,1983,Boys,38,698
Arizona,1983,Boys,NA,NA
Arkansas,1983,Boys,276,5522
California,1983,Boys,965,41401
Colorado,1983,Boys,250,10000
Connecticut,1983,Boys,167,6391
Delaware,1983,Boys,31,1202
District Of Columbia,1983,Boys,12,682
Florida,1983,Boys,347,9785
Georgia,1983,Boys,312,9414
Hawaii,1983,Boys,51,1867
Idaho,1983,Boys,123,3237
Illinois,1983,Boys,598,22579
Indiana,1983,Boys,386,13000
Iowa,1983,Boys,477,13805
Kansas,1983,Boys,375,9679
Kentucky,1983,Boys,213,3723
Louisiana,1983,Boys,352,7040
Maine,1983,Boys,111,3441
Maryland,1983,Boys,137,4819
Massachusetts,1983,Boys,248,10430
Michigan,1983,Boys,653,24813
Minnesota,1983,Boys,419,11467
Mississippi,1983,Boys,206,3825
Missouri,1983,Boys,419,14792
Montana,1983,Boys,182,3335
Nebraska,1983,Boys,364,8322
Nevada,1983,Boys,58,1500
New Hampshire,1983,Boys,45,2000
New Jersey,1983,Boys,343,13820
New Mexico,1983,Boys,123,3214
New York,1983,Boys,589,22882
North Carolina,1983,Boys,284,11002
North Dakota,1983,Boys,201,3071
Ohio,1983,Boys,751,25635
Oklahoma,1983,Boys,328,5078
Oregon,1983,Boys,240,12000
Pennsylvania,1983,Boys,503,20000
Rhode Island,1983,Boys,39,1830
South Carolina,1983,Boys,181,6335
South Dakota,1983,Boys,204,4926
Tennessee,1983,Boys,198,6138
Texas,1983,Boys,1124,45456
Utah,1983,Boys,97,3047
Vermont,1983,Boys,26,897
Virginia,1983,Boys,270,9450
Washington,1983,Boys,315,9988
West Virginia,1983,Boys,114,3198
Wisconsin,1983,Boys,388,13580
Wyoming,1983,Boys,NA,NA
Alabama,1983,Girls,163,1928
Alaska,1983,Girls,36,567
Arizona,1983,Girls,138,3161
Arkansas,1983,Girls,271,2710
California,1983,Girls,949,21067
Colorado,1983,Girls,246,9840
Connecticut,1983,Girls,143,4290
Delaware,1983,Girls,23,782
District Of Columbia,1983,Girls,10,200
Florida,1983,Girls,328,5386
Georgia,1983,Girls,288,6525
Hawaii,1983,Girls,49,1031
Idaho,1983,Girls,123,2389
Illinois,1983,Girls,565,15155
Indiana,1983,Girls,378,10700
Iowa,1983,Girls,489,10555
Kansas,1983,Girls,373,8036
Kentucky,1983,Girls,192,3140
Louisiana,1983,Girls,322,6440
Maine,1983,Girls,111,2442
Maryland,1983,Girls,139,3397
Massachusetts,1983,Girls,238,8324
Michigan,1983,Girls,621,17928
Minnesota,1983,Girls,425,9242
Mississippi,1983,Girls,183,2574
Missouri,1983,Girls,406,11168
Montana,1983,Girls,182,2868
Nebraska,1983,Girls,364,6200
Nevada,1983,Girls,52,1000
New Hampshire,1983,Girls,40,1200
New Jersey,1983,Girls,310,9710
New Mexico,1983,Girls,117,1857
New York,1983,Girls,539,17748
North Carolina,1983,Girls,226,5934
North Dakota,1983,Girls,210,2721
Ohio,1983,Girls,723,20333
Oklahoma,1983,Girls,330,3960
Oregon,1983,Girls,241,7230
Pennsylvania,1983,Girls,452,13500
Rhode Island,1983,Girls,28,869
South Carolina,1983,Girls,167,3815
South Dakota,1983,Girls,202,4136
Tennessee,1983,Girls,184,5704
Texas,1983,Girls,1117,44910
Utah,1983,Girls,97,2097
Vermont,1983,Girls,27,683
Virginia,1983,Girls,263,7091
Washington,1983,Girls,307,7162
West Virginia,1983,Girls,108,2277
Wisconsin,1983,Girls,389,11070
Wyoming,1983,Girls,73,1000
...,1984,Boys,NA,NA
Alabama,1984,Boys,214,3698
Alaska,1984,Boys,30,683
Arizona,1984,Boys,139,4778
Arkansas,1984,Boys,290,5840
California,1984,Boys,812,34474
Colorado,1984,Boys,262,10480
Connecticut,1984,Boys,169,6425
Delaware,1984,Boys,28,1177
District Of Columbia,1984,Boys,12,682
Florida,1984,Boys,350,9277
Georgia,1984,Boys,333,9192
Hawaii,1984,Boys,50,1824
Idaho,1984,Boys,123,3321
Illinois,1984,Boys,669,27080
Indiana,1984,Boys,386,12740
Iowa,1984,Boys,481,13115
Kansas,1984,Boys,372,9524
Kentucky,1984,Boys,239,3585
Louisiana,1984,Boys,357,7652
Maine,1984,Boys,111,3441
Maryland,1984,Boys,141,5426
Massachusetts,1984,Boys,240,10245
Michigan,1984,Boys,652,24742
Missouri,1984,Boys,424,14560
Montana,1984,Boys,182,3400
Nebraska,1984,Boys,367,9376
Nevada,1984,Boys,58,1672
New Hampshire,1984,Boys,45,1987
New Jersey,1984,Boys,344,14010
New Mexico,1984,Boys,118,3539
New York,1984,Boys,589,22882
North Carolina,1984,Boys,280,10957
North Dakota,1984,Boys,199,2976
Ohio,1984,Boys,757,26961
Oklahoma,1984,Boys,330,4950
Oregon,1984,Boys,238,11900
Pennsylvania,1984,Boys,502,19970
Rhode Island,1984,Boys,38,1610
South Carolina,1984,Boys,176,6001
South Dakota,1984,Boys,201,4880
Tennessee,1984,Boys,200,6200
Texas,1984,Boys,1116,30588
Utah,1984,Boys,96,3482
Vermont,1984,Boys,27,763
Virginia,1984,Boys,270,9450
Washington,1984,Boys,320,8879
West Virginia,1984,Boys,104,2648
Wisconsin,1984,Boys,385,15070
Wyoming,1984,Boys,71,1850
Alabama,1984,Girls,168,1983
Alaska,1984,Girls,30,532
Arizona,1984,Girls,131,3294
Arkansas,1984,Girls,283,2830
California,1984,Girls,797,19075
Colorado,1984,Girls,247,9880
Connecticut,1984,Girls,144,4312
Delaware,1984,Girls,26,829
Dist. Of Columbia,1984,Girls,10,200
Florida,1984,Girls,326,6174
Georgia,1984,Girls,302,6536
Hawaii,1984,Girls,50,1039
Idaho,1984,Girls,123,2507
Illinois,1984,Girls,647,18379
Indiana,1984,Girls,380,10526
Iowa,1984,Girls,489,10555
Kansas,1984,Girls,370,6549
Kentucky,1984,Girls,237,2370
Louisiana,1984,Girls,325,6860
Maine,1984,Girls,111,2442
Maryland,1984,Girls,135,3424
Massachusetts,1984,Girls,233,8491
Michigan,1984,Girls,642,24122
Minnesota,1984,Girls,416,9219
Mississippi,1984,Girls,192,2832
Missouri,1984,Girls,413,11059
Montana,1984,Girls,182,2905
Nebraska,1984,Girls,367,6596
Nevada,1984,Girls,56,1290
New Hampshire,1984,Girls,40,1335
New Jersey,1984,Girls,306,9614
New Mexico,1984,Girls,117,2606
New York,1984,Girls,539,17748
North Carolina,1984,Girls,230,5934
North Dakota,1984,Girls,206,2540
Ohio,1984,Girls,733,20382
Oklahoma,1984,Girls,331,3972
Oregon,1984,Girls,239,7170
Pennsylvania,1984,Girls,455,13600
Rhode Island,1984,Girls,27,852
South Carolina,1984,Girls,167,3844
South Dakota,1984,Girls,201,4072
Tennessee,1984,Girls,198,6138
Texas,1984,Girls,1116,30588
Utah,1984,Girls,96,2261
