"Year","State","Students"
1900,"Wyoming",30436
2001,"Alabama",201358
2001,"Alaska",38914
2001,"Arizona",236933
2001,"Arkansas",131511
2001,"California",1707952
2001,"Colorado",207942
2001,"Connecticut",155734
2001,"Delaware",33875
2001,"District Of Columbia",13781
2001,"Florida",674919
2001,"Georgia",384954
2001,"Hawaii",52031
2001,"Idaho",74696
2001,"Illinois",573246
2001,"Indiana",283832
2001,"Iowa",155073
2001,"Kansas",143784
2001,"Kentucky",191816
2001,"Louisiana",194653
2001,"Maine",60782
2001,"Maryland",240843
2001,"Massachusetts",272575
2001,"Michigan",486726
2001,"Minnesota",276574
2001,"Mississippi",128171
2001,"Missouri",265356
2001,"Montana",49565
2001,"Nebraska",90713
2001,"Nevada",89966
2001,"New Hampshire",61254
2001,"New Jersey",322555
2001,"New Mexico",95427
2001,"New York",782021
2001,"North Carolina",348168
2001,"North Dakota",36780
2001,"Ohio",541403
2001,"Oklahoma",176709
2001,"Oregon",166182
2001,"Pennsylvania",550652
2001,"Rhode Island",43616
2001,"South Carolina",184185
2001,"South Dakota",40718
2001,"Tennessee",241038
2001,"Texas",1116572
2001,"Utah",143721
2001,"Vermont",31624
2001,"Virginia",329148
2001,"Washington",310403
2001,"West Virginia",84972
2001,"Wisconsin",284736
2001,"Wyoming",29783
2002,"Alabama",201610
2002,"Alaska",39461
2002,"Arizona",249920
2002,"Arkansas",131418
2002,"California",1745295
2002,"Colorado",212989
2002,"Connecticut",160211
2002,"Delaware",34257
2002,"District Of Columbia",13530
2002,"Florida",703064
2002,"Georgia",395439
2002,"Hawaii",52613
2002,"Idaho",75098
2002,"Illinois",585396
2002,"Indiana",282531
2002,"Iowa",153856
2002,"Kansas",143570
2002,"Kentucky",179275
2002,"Louisiana",193536
2002,"Maine",61067
2002,"Maryland",246807
2002,"Massachusetts",273644
2002,"Michigan",497159
2002,"Minnesota",278356
2002,"Mississippi",126361
2002,"Missouri",265810
2002,"Montana",49151
2002,"Nebraska",90442
2002,"Nevada",94323
2002,"New Hampshire",62286
2002,"New Jersey",349406
2002,"New Mexico",95224
2002,"New York",790657
2002,"North Carolina",359398
2002,"North Dakota",35593
2002,"Ohio",544353
2002,"Oklahoma",175124
2002,"Oregon",169117
2002,"Pennsylvania",563698
2002,"Rhode Island",45263
2002,"South Carolina",189475
2002,"South Dakota",40479
2002,"Tennessee",250392
2002,"Texas",1147233
2002,"Utah",142021
2002,"Vermont",31787
2002,"Virginia",336897
2002,"Washington",312943
2002,"West Virginia",82857
2002,"Wisconsin",287557
2002,"Wyoming",29035
2003,"Alabama",206159
2003,"Alaska",39984
2003,"Arizona",276984
2003,"Arkansas",131716
2003,"California",1807054
2003,"Colorado",217397
2003,"Connecticut",164025
2003,"Delaware",34121
2003,"District Of Columbia",15374
2003,"Florida",730650
2003,"Georgia",407451
2003,"Hawaii",52922
2003,"Idaho",75355
2003,"Illinois",595349
2003,"Indiana",288607
2003,"Iowa",152147
2003,"Kansas",144334
2003,"Kentucky",182479
2003,"Louisiana",192902
2003,"Maine",61873
2003,"Maryland",253506
2003,"Massachusetts",281939
2003,"Michigan",517152
2003,"Minnesota",279190
2003,"Mississippi",126932
2003,"Missouri",271262
2003,"Montana",48727
2003,"Nebraska",90289
2003,"Nevada",98538
2003,"New Hampshire",63988
2003,"New Jersey",369109
2003,"New Mexico",95737
2003,"New York",802393
2003,"North Carolina",371987
2003,"North Dakota",35136
2003,"Ohio",554490
2003,"Oklahoma",174356
2003,"Oregon",171361
2003,"Pennsylvania",571910
2003,"Rhode Island",46661
2003,"South Carolina",193962
2003,"South Dakota",40598
2003,"Tennessee",254271
2003,"Texas",1180158
2003,"Utah",141839
2003,"Vermont",31807
2003,"Virginia",345720
2003,"Washington",317607
2003,"West Virginia",82281
2003,"Wisconsin",289528
2003,"Wyoming",28190
2004,"Alabama",205907
2004,"Alaska",40238
2004,"Arizona",307272
2004,"Arkansas",132712
2004,"California",1854518
2004,"Colorado",221368
2004,"Connecticut",169409
2004,"Delaware",34770
2004,"District Of Columbia",16828
2004,"Florida",755252
2004,"Georgia",419430
2004,"Hawaii",53519
2004,"Idaho",76696
2004,"Illinois",606669
2004,"Indiana",293532
2004,"Iowa",152565
2004,"Kansas",143559
2004,"Kentucky",183599
2004,"Louisiana",191319
2004,"Maine",62659
2004,"Maryland",260526
2004,"Massachusetts",288329
2004,"Michigan",514701
2004,"Minnesota",278805
2004,"Mississippi",127333
2004,"Missouri",273466
2004,"Montana",48092
2004,"Nebraska",90125
2004,"Nevada",104650
2004,"New Hampshire",65325
2004,"New Jersey",382910
2004,"New Mexico",97034
2004,"New York",820478
2004,"North Carolina",386190
2004,"North Dakota",34363
2004,"Ohio",567226
2004,"Oklahoma",174652
2004,"Oregon",172375
2004,"Pennsylvania",582624
2004,"Rhode Island",48166
2004,"South Carolina",198455
2004,"South Dakota",39522
2004,"Tennessee",261405
2004,"Texas",1199167
2004,"Utah",142140
2004,"Vermont",32091
2004,"Virginia",354832
2004,"Washington",322101
2004,"West Virginia",82375
2004,"Wisconsin",290219
2004,"Wyoming",27703
2005,"Alabama",208383
2005,"Alaska",40989
2005,"Arizona",320690
2005,"Arkansas",134641
2005,"California",1915361
2005,"Colorado",225281
2005,"Connecticut",173221
2005,"Delaware",35492
2005,"District Of Columbia",17725
2005,"Florida",781538
2005,"Georgia",435058
2005,"Hawaii",54292
2005,"Idaho",77863
2005,"Illinois",613676
2005,"Indiana",301342
2005,"Iowa",154150
2005,"Kansas",143537
2005,"Kentucky",187435
2005,"Louisiana",190530
2005,"Maine",62545
2005,"Maryland",268144
2005,"Massachusetts",293399
2005,"Michigan",525196
2005,"Minnesota",280056
2005,"Mississippi",129253
2005,"Missouri",276782
2005,"Montana",47906
2005,"Nebraska",90945
2005,"Nevada",111314
2005,"New Hampshire",66535
2005,"New Jersey",400085
2005,"New Mexico",98202
2005,"New York",840949
2005,"North Carolina",400014
2005,"North Dakota",33391
2005,"Ohio",572944
2005,"Oklahoma",175199
2005,"Oregon",175263
2005,"Pennsylvania",590332
2005,"Rhode Island",49458
2005,"South Carolina",199472
2005,"South Dakota",38907
2005,"Tennessee",270211
2005,"Texas",1220980
2005,"Utah",148162
2005,"Vermont",32195
2005,"Virginia",365052
2005,"Washington",324600
2005,"West Virginia",82574
2005,"Wisconsin",286807
2005,"Wyoming",27448
2006,"Alabama",212414
2006,"Alaska",42063
2006,"Arizona",354901
2006,"Arkansas",138237
2006,"California",1953077
2006,"Colorado",229951
2006,"Connecticut",175354
2006,"Delaware",36298
2006,"District Of Columbia",18769
2006,"Florida",801629
2006,"Georgia",453015
2006,"Hawaii",55258
2006,"Idaho",79153
2006,"Illinois",631198
2006,"Indiana",310607
2006,"Iowa",157322
2006,"Kansas",142349
2006,"Kentucky",190975
2006,"Louisiana",172444
2006,"Maine",62007
2006,"Maryland",271449
2006,"Massachusetts",296511
2006,"Michigan",538642
2006,"Minnesota",281486
2006,"Mississippi",132192
2006,"Missouri",282563
2006,"Montana",47562
2006,"Nebraska",91591
2006,"Nevada",116375
2006,"New Hampshire",67112
2006,"New Jersey",407314
2006,"New Mexico",97206
2006,"New York",851404
2006,"North Carolina",413318
2006,"North Dakota",32645
2006,"Ohio",578352
2006,"Oklahoma",176683
2006,"Oregon",172185
2006,"Pennsylvania",600857
2006,"Rhode Island",49552
2006,"South Carolina",203514
2006,"South Dakota",38482
2006,"Tennessee",277352
2006,"Texas",1257055
2006,"Utah",150786
2006,"Vermont",31856
2006,"Virginia",372317
2006,"Washington",332503
2006,"West Virginia",83677
2006,"Wisconsin",291176
2006,"Wyoming",27214
2007,"Alabama",214968
2007,"Alaska",42441
2007,"Arizona",308576
2007,"Arkansas",139689
2007,"California",1993972
2007,"Colorado",234985
2007,"Connecticut",177037
2007,"Delaware",37258
2007,"District Of Columbia",18313
2007,"Florida",804951
2007,"Georgia",462649
2007,"Hawaii",54636
2007,"Idaho",80375
2007,"Illinois",640597
2007,"Indiana",315832
2007,"Iowa",156904
2007,"Kansas",142086
2007,"Kentucky",194672
2007,"Louisiana",183735
2007,"Maine",61648
2007,"Maryland",272575
2007,"Massachusetts",298033
2007,"Michigan",539517
2007,"Minnesota",282120
2007,"Mississippi",134475
2007,"Missouri",286078
2007,"Montana",47340
2007,"Nebraska",91811
2007,"Nevada",121779
2007,"New Hampshire",67384
2007,"New Jersey",408143
2007,"New Mexico",98129
2007,"New York",857753
2007,"North Carolina",417414
2007,"North Dakota",32275
2007,"Ohio",583529
2007,"Oklahoma",178292
2007,"Oregon",181683
2007,"Pennsylvania",648688
2007,"Rhode Island",49616
2007,"South Carolina",206748
2007,"South Dakota",38021
2007,"Tennessee",286397
2007,"Texas",1279727
2007,"Utah",152114
2007,"Vermont",31659
2007,"Virginia",378755
2007,"Washington",331916
2007,"West Virginia",84366
2007,"Wisconsin",292100
2007,"Wyoming",27198
2008,"Alabama",216941
2008,"Alaska",42049
2008,"Arizona",316376
2008,"Arkansas",138921
2008,"California",2011865
2008,"Colorado",236141
2008,"Connecticut",176592
2008,"Delaware",37555
2008,"District Of Columbia",20242
2008,"Florida",810952
2008,"Georgia",471012
2008,"Hawaii",54246
2008,"Idaho",80948
2008,"Illinois",639896
2008,"Indiana",317214
2008,"Iowa",155611
2008,"Kansas",140893
2008,"Kentucky",196772
2008,"Louisiana",181489
2008,"Maine",65503
2008,"Maryland",269221
2008,"Massachusetts",296032
2008,"Michigan",549291
2008,"Minnesota",279398
2008,"Mississippi",137033
2008,"Missouri",285442
2008,"Montana",46448
2008,"Nebraska",91149
2008,"Nevada",121752
2008,"New Hampshire",66413
2008,"New Jersey",411332
2008,"New Mexico",99322
2008,"New York",852342
2008,"North Carolina",417168
2008,"North Dakota",31567
2008,"Ohio",585862
2008,"Oklahoma",178400
2008,"Oregon",181719
2008,"Pennsylvania",595727
2008,"Rhode Island",48470
2008,"South Carolina",207751
2008,"South Dakota",38182
2008,"Tennessee",282508
2008,"Texas",1300148
2008,"Utah",165986
2008,"Vermont",30942
2008,"Virginia",380413
2008,"Washington",332840
