,1979-80,AA,Denise Daebelliehn,Moline (H.S.),7-May
,1980-81,A,Sue Perkins,Prophetstown,5-7.4
,1980-81,AA,Penny Sellers,Macomb,5-71⁄4
,1981-82,A,Gretchen Wallhaus,Buffalo (Tri-City),7-May
,1981-82,AA,Teresa Rose Wadman,Park Ridge (Maine East),10-May
,1982-83,A,Julie Goben,Viola (Winola),5-May
,1982-83,AA,Jerelene Cummings,Decatur (MacArthur),9-May
,1983-84,A,Sherri Taylor,Fairfield,5-May
,1983-84,AA,Jerelene Cummings,Decatur (MacArthur),7-May
,1984-85,A,DeeDee Jeske,Shabbona,7-May
,1984-85,AA,Amy Anderson,Belvidere (H.S.),7-May
,1985-86,A,Randi Questelle,Eldorado,6-May
,1985-86,AA,Cindy Lawrence,Champaign (Centennial),10-May
,1986-87,A,Patty Leuchtenberg,Lexington,9-May
,1986-87,AA,Reflaye Williams,Belleville (East),5-101⁄2
,1987-88,A,Shelly Minott,Newman,7-May
,1987-88,AA,Chris Coolidge,Rock Island (H.S.),8-May
,1988-89,A,Rhonda Brown,Sesser (S.-Valier),6-May
,1988-89,AA,Reflaye Williams,Belleville (East),9-May
,1989-90,A,Kim Richardson,Effingham (St. Anthony),5-May
,1989-90,AA,Ann Daniczyk,Oswego (H.S.),7-May
,1990-91,A,Gretchen Daniels,Carterville,6-May
,1990-91,AA,Marcie Claeys,Geneseo (Darnall),7-May
,1991-92,A,Gwen Erffmeyer,Palos Heights (Chicago Christian),8-May
,1991-92,AA,Susie Newell,Springfield (Lanphier),9-May
,1992-93,A,Beth Voellinger,Belleville (Althoff),6-May
,1992-93,AA,Nora Weber,Canton,9-May
,1993-94,A,Erin Anderson,Herscher,8-May
,1993-94,AA,Stacy Pierce,McHenry,7-May
,1994-95,A,Erin Anderson,Herscher,8-May
,1994-95,AA,Gina Lambert,St. Charles (H.S.),4-May
,1995-96,A,Erin Anderson,Herscher,9-May
,1995-96,AA,Cori McLeod,St. Charles (H.S.),8-May
,1996-97,A,Jamie Jones,Sciota (Northwestern),6-May
,1996-97,AA,Jamie Tyler,O'Fallon (H.S.),7-May
,1997-98,A,Jamie Jones,Sciota (Northwestern),6-May
,1997-98,AA,Kristin Pace,Gurnee (Warren),8-May
,1998-99,A,Jessica Bayne,Mt. Carmel,7-May
,1998-99,AA,Kristin Pace,Gurnee (Warren),8-May
