"Year","Gender","Class","Name","Mark","Event","State"
1993,"Girls","D","Tobi Uldrich        Milligan            ","5-03","High Jump","Nebraska"
1993,"Girls","D","Julie Wilson        Beaver Valley       ","5-01","High Jump","Nebraska"
1993,"Boys","A","Ronnie Doss         Omaha Benson        ","10.61","100m","Nebraska"
1993,"Boys","A","Alex Lamme        Fremont             ","1:54.12","800m","Nebraska"
1993,"Boys","A","Mike Caine          Bellevue East      ","4:18.08","1600m","Nebraska"
1993,"Boys","A","Eddy Harvey       North Platte         ","6-08","High Jump","Nebraska"
1993,"Boys","A","Tom Richmond      Kearney             ","14-00","Pole Vault","Nebraska"
1993,"Boys","B","Sam Itaaehau       Valentine            ","10.97","100m","Nebraska"
1993,"Boys","B","Kevin Brewer        Minden               ","1:55.40","800m","Nebraska"
1993,"Boys","B","Shane Adams        Nebraska City       ","4:25.45","1600m","Nebraska"
1993,"Boys","B","Chris Gillespie   Boys Town              ","6-09","High Jump","Nebraska"
1993,"Boys","B","Jason Burhoop     Seward                 ","6-04","High Jump","Nebraska"
1993,"Boys","B","Colby Hood       Crete            ","14-08","Pole Vault","Nebraska"
1993,"Boys","B","Scott Berner     York             ","13-06","Pole Vault","Nebraska"
1993,"Boys","C","Tom Fish              Hastings St Cecilia   ","10.87","100m","Nebraska"
1993,"Boys","C","Brett Louderback   Bridgeport            ","1:58.31","800m","Nebraska"
1993,"Boys","C","Jeffrey Strong        Pawnee City          ","4:30.30","1600m","Nebraska"
1993,"Boys","C","Quenten Esser    Conestoga               ","6-05","High Jump","Nebraska"
1993,"Boys","C","Jason Frame           Hershey               ","14-02","Pole Vault","Nebraska"
1993,"Boys","D","Curt Lenners        Filley                ","11.35","100m","Nebraska"
1993,"Boys","D","Nathan Nauman        Giltner               ","2:01.25","800m","Nebraska"
1993,"Boys","D","Nathan Nauman       Giltner              ","4:34.37","1600m","Nebraska"
1993,"Boys","D","Ryan Gottula       Table Rock              ","6-05","High Jump","Nebraska"
