Year,Event,Class,Name,School,Mark
,,200m,DID NOT CONTEST,,
,,800m,DID NOT CONTEST,,
2017,4x100m Relay,7A,"Nilaja Florence, Jayda Parsons, Sequoya Hunter, Tamiya Roberts",McEachern Indians,46.63
,,6A,"Meggie Hudson, Hope Glenn, Brooke Mizelle, Denise Issah",Pope Greyhounds,46.93
,,5A,"Temperance Newsom, Darci Khan, Maya Davis, Jamaalriya Parker",Stockbridge Tigers,46.2
,,4A,"Kayla Alexander, Angel Amadi, Kendria Edouard, Aliyah Sangster",Chapel HIll Panthers,47.01
,,3A,"Nia Guinn, Nia Brown, Chloe Fair, Savannah Hale",Greater Atlanta Christian Spartans,46.53
,,2A,"Quadriana Medlock, Mackenzie Powell, Sabrina Richman, Iyana Wongus",South Atlanta Hornets,49.27
,,1A,"Zanila Booker, Kiara Binns, Tenoria Tate, Secoriah Danner",Washington-Wilkes Tigers,48.18
,,1A-P,"Callie Davis, Sutton West, Meagan Lynch, Mikayla Coombs",Wesleyan Wolves,48.54
,1600m Run,7A,Liz Galarza,West Forsyth Wolverines,05:00.4
,,6A,Nyah Hernandez,Creekview Grizzlies,05:04.5
,,5A,Erin Leonard,Jones County Greyhounds,05:05.0
,,4A,Kathleen Maley,Marist War Eagles,05:08.3
,,3A,Naima Turbes,Westminster Wildcats,05:02.4
,,2A,Alex Quarles,Model Blue Devils,05:33.9
,,1A,Gracie O'Neal,Gordon Lee Trojans,05:20.0
,,1A-P,Nicole Feagans,Landmark Christian War Eagles,04:55.0
,400m Dash,7A,Kennedy Simon,Westlake Lions,52.94
,,6A,Cydney Delley,Evans Bulldogs,54.96
,,5A,Kimberly Harris,Buford Wolves,53.8
,,4A,Kiana Banks,Spalding Jaguars,54.24
,,3A,J'Milya Poole,Monroe (Albany) Tornadoes,56.16
,,2A,Sabrina Richman,South Atlanta Hornets,57.15
,,1A,Abigail Kirkland,Georgia Military College Bulldogs,57.87
,,1A-P,Kayland Thomason,Eagles Landing Christian Chargers,57.88
,100m Dash,7A,Caitlan Tate,Brookwood Broncos,11.87
,,6A,Hope Glenn,Pope Greyhounds,11.71
,,5A,Alexa Rossum,Buford Wolves,11.72
,,4A,Shelah Harris,North Oconee Titans,11.66
,,3A,Jaeda Hunt,Monroe (Albany) Tornadoes,11.77
,,2A,Khadijah Montgomery,Temple Tigers,12.41
,,1A,Tycoriah Danner,Washington-Wilkes Tigers,12.07
,,1A-P,T'Aja Cameron,Eagles Landing Christian Chargers,11.85
,100m Intermediate Hurdles,7A,Alexis Jones,Campbell Spartans,13.92
,,6A,Antonia Frazier,Tucker Tigers,14.59
,,5A,Darci Kham,Stockbridge Tigers,13.79
,,4A,Zykeria Williams,Baldwin Braves,13.69
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,13.94
,,2A,Courtney Madison,Vidalia Indians,14
,,1A,Aja Alexander,Warren County Blue Devils,14.83
,,1A-P,Morgan Lewis,Mount Vernon Presbyterian Mustangs,14.4
,800m Run,7A,Mackenzie Ellison,Brookwood Broncos,02:14.7
,,6A,Brenda Ayuk,Alexander Cougars,02:17.7
,,5A,Emoni Coleman,Miller Grove Wolverines,02:15.1
,,4A,Jaelen Alexander,White County Warriors,02:17.7
,,3A,Naima Turbes,Westminster Wildcats,02:14.5
,,2A,Kennedee Williams,East Laurens Falcons,02:21.1
,,1A,Dasia Wyatt,Bowdon Red Devils,02:21.4
,,1A-P,Anna Marian Block,Athens Academy Spartans,02:13.6
,200m Dash,7A,Kennedy Simon,Westlake Lions,23.74
,,6A,Hope Glenn,Pope Greyhounds,24.76
,,5A,Alexa Rossum,Buford Wolves,24.03
,,4A,Shelah Harris,North Oconee Titans,24.37
,,3A,Jaeda Hunt,Monroe (Albany) Tornadoes,24.09
,,2A,Sabrina Richman,South Atlanta Hornets,25.25
,,1A,Brandy Mackey,Telfair County Trojans,25.37
,,1A-P,T'Aja Cameron,Eagles Landing Christian Chargers,24.7
,300m Low Hurdles,7A,Alexis Jones,Campbell Spartans,42.34
,,6A,Kamiyah Street,Mays Raiders,43.98
,,5A,Erin Marsh,Buford Wolves,42.48
,,4A,Olympia High,Mary Persons Bulldogs,44.44
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,42.97
,,2A,Courtney Madison,Vidalia Indians,44.16
,,1A,Abigail Kirkland,Georgia Military College Bulldogs,44.23
,,1A-P,Morgan Lewis,Mount Vernon Presbyterian Mustangs,44.36
,3200m Run,7A,Elizabeth Funderburk,Colquitt County Packers,10:46.9
,,6A,Nyah Hernandez,Creekview Grizzlies,11:06.8
,,5A,Erin Leonard,Jones County Greyhounds,10:50.5
,,4A,Josie Wirtz,Marist War Eagles,11:22.6
,,3A,Serena Tripodi,Lovett Lions,11:03.2
,,2A,Alina Jablonski,Monticello Purple Hurricanes,12:26.9
,,1A,Alli Hay,Pataula Charter Panthers,12:04.8
,,1A-P,Nicole Feagans,Landmark Christian War Eagles,10:39.9
,4x400m Relay,7A,"Kennedy Simon, Jada Watson, Trinity Williams, Trinity Flagler",Westlake Lions,03:47.3
,,6A,"Tierra Edwards, Kamiyah Street, Kendra Whitehurst, Chloe Robinson",Mays Raiders,03:54.5
,,5A,"KImberly Harris, Britiney Johnson, Erin Marsh, Alexa Rossum",Buford Wolves,03:47.2
,,4A,"Meghan Daniels, Ilene Soleyn, Kendria Edouard, Aliyah Sangster",Chapel Hill Panthers,03:54.1
,,3A,"Artexis Drake, Naila Harris, Jaeda Hunt, J'Milya Poole",Monroe (Albany) Tornadoes,03:51.5
,,2A,"Jlynn Latham, Quadriana Medlock, Mackenzie Powell, Sabrina Richman",South Atlanta Hornets,04:00.5
,,1A,"DeeAurah Bradshaw, India Wells, NyAsia Howard, Tyshiana Rozier",Telfair County Trojans,04:08.1
,,1A-P,"Mikayla Coombs, Sutton West, Caroline Gross, Meagan Lynch",Wesleyan Wolves,04:00.5
,High Jump,7A,Rachel Robertson,Campbell Spartans,"5' 6"""
,,6A,Imani Carmouche,Mt. Zion (Jonesboro) Bulldogs,"5' 8"""
,,5A,Patra Williams,Arabia Mountain Rams,"5' 4"""
,,4A,Moena Battle,North Clayton Eagles,"5' 4"""
,,3A,Danielle Shipp,Greater Atlanta Christian Spartans,"5' 2"""
,,2A,Morgan Carelock,Jeff Davis Yellow Jackets,"5' 4"""
,,1A,Essence Randolph,Greene County Tigers,"5' 2"""
,,1A-P,Becky Arbiv,The Weber School Rams,"5' 4"""
,Long Jump,7A,Kennedy Simon,Westlake Lions,"18' 11.75"""
,,6A,Shatara Johnson,Drew Titans,"19' 6.75"""
,,5A,Iyana McKeever,Statesboro Blue Devils,"18' 10"""
,,4A,Zykeria Williams,Baldwin Braves,"18' 7.25"""
,,3A,Jaeda Hunt,Monroe (Albany) Tornadoes,"19' 1.5"""
,,2A,Courtney Madison,Vidalia Indians,"18' 4.5"""
,,1A,Brandy Mackey,Telfair County Trojans,"17' 9"""
,,1A-P,Meagan Lynch,Wesleyan Wolves,"17' 1.75"""
