Year,Event,Class,Name,School,Mark
,,1A,"Helen Williams, Megan Mitchell, Catherine Booker, Ragan Howard",Savannah Country Day Hornets,04:05.5
,High Jump,4A,Nakeitra Jones,Northeast Raiders,"5' 10"""
,,3A,Regina Tate,Shaw Raiders,"5'8 """
,,2A,Brandy Barnett,Coosa Eagles,"5' 8"""
,,1A,Jessica Farrer,Model Blue Devils,"5'8-0.5"""
,Long Jump,4A,Terri Robinson,Southwest DeKalb Panthers,"18' 2"""
,,3A,Tasha Mahone,Shaw Raiders,"19' 4"""
,,2A,Keisha Hall,Pickens Dragons,"17' 3.75"""
,,1A,Traulanda Byrd,Southeast Bulloch Yellow Jackets,"17' 10.5"""
,Triple Jump,4A,Gina Arnold,Stone Mountain Pirates,"38' 4"""
,,3A,Kareem Clark,Lithonia Bulldogs,"37' 1.5"""
,,2A,Monica Barnett,Coosa Eagles,"35' 7"""
,,1A,Kelly Martin,Toombs County Bulldogs,"38' 10.25"""
,Shot Put,4A,Andrea Pappas,Brookwood Broncos,"42' 1.75"""
,,3A,Victoria Thomas,Kendrick Cherokees,"41' 1.5"""
,,2A,Sheritha Chinn,"Tri-County Eagles (Marion, Schley & Webster County)","38' 3"""
,,1A,Tamika Nolen,Central (Talbotton) Hawks,"36' 1.75"""
,Discus,4A,Andrea Pappas,Brookwood Broncos,"147' 0"""
,,3A,Mia Herndon,Westminster Wildcats,"118' 5"""
,,2A,Ashley Herendon,Fannin County Rebels,"126' 8"""
,,1A,Kelly Sullivan,Lamar County Trojans,"109' 0"""
1995,4x100m Relay,4A,"Tasha Coxon, Kwameka Brown, Minica Nunnally, Chiquita Fortson",Butler Bulldogs,47.88
,,3A,"Tainicole Mullins, Regina Tate, Chinette Johnson, Tasha Mahone",Shaw Raiders,47.75
,,2A,"Parisia Jackson, Teniqua Broughton, Latisha Rivers, Lakeisha Rowe",Cedar Grove Saints,47.42
,,1A,"Traulanda Byrd, Rosella Wells, Shalonda Brown, Veronica Morton",Southeast Bulloch Yellow Jackets,50.29
,1600m Run,4A,Becky Megesi,Lovejoy Wildcats,05:13.1
,,3A,Kyla Barbour,Marist War Eagles,05:11.1
,,2A,Calah Davis,Gilmer Bobcats,05:26.7
,,1A,Michelle Abernathy,Model Blue Devils,05:22.8
,400m Dash,4A,Nicole Bridges,LaGrange Grangers,56.98
,,3A,Keisha Grant,Columbia Eagles,56.7
,,2A,Whitney Renfurm,Lovett Lions,57.19
,,1A,Catherine Booker,Savannah Country Day Hornets,58.73
,100m Dash,4A,Chiquita Fortson,Butler Bulldogs,12.13
,,3A,Kelly Perryman,Columbia Eagles,11.8
,,2A,Parisia Jackson,Cedar Grove Saints,12.18
,,1A,Jennifer Felton,Turner County Rebels,12.56
,100m Low Hurdles,4A,Jacqueline Madison,Douglass (ATL) Astros,14.47
,,3A,Yokita Baugh,Lithonia Bulldogs,14.04
,,2A,Thomi Jones,Towers Titans,14.46
,,1A,Kelly Martin,Toombs County Bulldogs,14.66
,800m Run,4A,Nona Allen,Pope Greyhounds,02:16.4
,,3A,Kathryn Goodwin,Westminster Wildcats,02:19.9
,,2A,Adrian Price,Harlem Bulldogs,02:25.0
,,1A,Claire Todd,Pace Academy Knights,02:23.3
,200m Dash,4A,Chiquita Fortson,Butler Bulldogs,24.48
,,3A,Kelly Perryman,Columbia Eagles,24.17
,,2A,Parisia Jackson,Cedar Grove Saints,24.68
,,1A,Jennifer Felton,Turner County Rebels,25.65
,3200m Run,4A,Tina Frey,McIntosh Chiefs,11:17.0
,,3A,Kyla Barbour,Marist War Eagles,10:57.0
,,2A,Amy Merritt,Lovett Lions,11:54.8
,,1A,Michelle Abernathy,Model Blue Devils,11:28.8
,4x400m Relay,4A,"Monica Nunnally, Kwameka Brown, Shantae Long, Chiquita Fortson",Butler Bulldogs,03:55.3
,,3A,"Robin Freeman, Maria Rivas, Keisha Grant, Kelly Perryman",Columbia Eagles,03:53.5
,,2A,"Teniqua Broughton, Lakeisha Rowe, Latisha Rivers, Parisia Jackson",Cedar Grove Saints,03:59.7
,,1A,"Helen Williams, Megan Mitchell, Catherine Booker, Ragan Howard",Savannah Country Day Hornets,04:07.8
,High Jump,4A,Kerry Moore,Alexander Cougars,"5' 8"""
,,3A,Regina Tate,Shaw Raiders,"5' 6"""
,,2A,Wendy Abernathy,Lumpkin County Indians,"5' 6"""
,,1A,Christy Shull,Model Blue Devils,"5' 8.25"""
,Long Jump,4A,Kim Mason,Lassiter Trojans,"17' 6.5"""
,,3A,Tasha Mahone,Shaw Raiders,"17' 7"""
,,2A,Zonesha Johnson,Washington County Hawks,"17' 11"""
,,1A,Carine Harris,Decatur Bulldogs,"16' 10"""
,Shot Put,4A,Lauren Thouvenot,Lakeside (Evans) Panthers,"42' 2"""
,,3A,Victoria Thomas,Kendrick Cherokees,"40' 5.75"""
,,2A,Nartasha Pyles,South Atlanta Hornets,"38' 5"""
,,1A,Brenda King,Buford Wolves,"38' 10"""
,Discus,4A,Becky Dyson,Northside (Warner Robins) Eagles,"143' 2"""
,,3A,Jamie Guined,Crisp County Rebels,"126' 6"""
,,2A,Amber Barron,Cook Hornets,"115' 8"""
,,1A,Jennifer Crow,Jefferson Dragons,"123' 7"""
1994,4x100m Relay,4A,"Ashante Oliphant, Shenita Davis, Kenay Smith, Phyllis Mitchell",Tri-Cities Bulldogs,48.75
,,3A,"Iesha Stewart, Yokita Baugh, Tanaema Archer, Kelli Dunovant",Lithonia Bulldogs,47.31
,,2A,"Latisha Rivers, Lakeisha Rowe, Teniqua Broughton, Denice McGuire",Cedar Grove Saints,49.54
,,1A,"Selina Tinsley, Carine Harris, Yasmin McLaughlin, Tamiko Burley",Decatur Bulldogs,49.5
,1600m Run,4A,Linda Lisska,Brookwood Broncos,05:08.7
,,3A,Kyla Barbour,Marist War Eagles,05:15.1
,,2A,Mickieon Dozier,Crim Eagles,05:24.8
,,1A,Cliare Todd,Pace Academy Knights,05:23.6
,400m Dash,4A,Nikia Matthews,Bradwell Institute Tigers,56.98
,,3A,Andria King,Marist War Eagles,57.29
,,2A,Latoya Jones,North Clayton Eagles,57.41
,,1A,Marlo Tanner,Dacula Falcons,59.67
,100m Dash,4A,Quintessa Harps,Griffin Bears,12.14
,,3A,Kelly Perryman,Columbia Eagles,12.14
,,2A,Jenell Ali,Crim Eagles,12.09
,,1A,Ericka McLemore,Tattnall County Battle Creek Warriors,12.55
,100m Low Hurdles,4A,Jacqueline Madison,Douglass (ATL) Astros,14.49
,,3A,Kelli Dunovant,Lithonia Bulldogs,14.33
,,2A,Latisha Rivers,Cedar Grove Saints,15.03
,,1A,Melissa Montford,Calvary Baptist Cavaliers,14.79
,800m Run,4A,Linda Lisska,Brookwood Broncos,02:18.2
,,3A,Demtrical Hixon,Kendrick Cherokees,02:20.2
,,2A,Shirlence Ivey,Washington County Hawks,02:25.7
,,1A,Claire Todd,Pace Academy Knights,02:23.1
,200m Dash,4A,Quintessa Harps,Griffin Bears,24.98
,,3A,Kelly Perryman,Columbia Eagles,24.56
,,2A,Jenell Ali,Crim Eagles,25.08
,,1A,Ericka McLemore,Tattnall County Battle Creek Warriors,25.78
,3200m Run,4A,Jessica Kirkland,Brookwood Broncos,11:21.4
,,3A,Kyla Barbour,Marist War Eagles,11:07.1
,,2A,Calah Davis,Gilmer Bobcats,11:57.5
,,1A,Margaret Powell,Heritage (Newnan) Hawks,11:59.4
,4x400m Relay,4A,"Nikia Scott, Natalie Smith, Che Landrum, Janelle Briggs",Stone Mountain Pirates,03:58.9
,,3A,"Kinesha Harden, Valarie Williams, Shandra Scurry, Letricia Schley",Laney Wildcats,03:56.8
,,2A,"Tuneshia Roach, Jelina Brooks, Jenell Ali, Natalia Phillips",Crim Eagles,04:00.5
,,1A,"Selina Tinsley, Yasmin McLaughlin, Carine Harris, Tamiko Burley",Decatur Bulldogs,04:07.2
,High Jump,4A,Stephanie Hicken,Groves Rebels,"5' 4"""
,,3A,Nakia Sanford,Clarkston Angoras,"5' 6"""
,,2A,Christy Shull,Model Blue Devils,"5' 4"""
,,1A,Sanita Coon,Wilcox County Patriots,"5' 4"""
,Long Jump,4A,Kim Mason,Lassiter Trojans,"17' 10.25"""
,,3A,Carla McKinney,Kendrick Cherokees,"18' 0.5"""
,,2A,Jenell Ali,Crim Eagles,"17' 0.25"""
,,1A,Susie Kleinpeter,Calvary Baptist Cavaliers,"16' 10"""
,Shot Put,4A,Audra Thomas,Heritage (Newnan) Hawks,"40' 6"""
,,3A,Lesheal Johnson,Columbia Eagles,"42' 10"""
,,2A,Lasha Jackson,Lumpkin County Indians,"42' 6.5"""
,,1A,Brandy Jenkins,Adairsville Tigers,"36' 5"""
,Discus,4A,Andrea Pappas,Brookwood Broncos,"125' 1"""
,,3A,Lesheal Johnson,Columbia Eagles,"142' 9"""
,,2A,Lasha Jackson,Lumpkin County Indians,"119' 4"""
,,1A,Jennifer Crow,Jefferson Dragons,"117' 2"""
1993,4x100m Relay,4A,"Latricia Hargrove, Keisha Grant, Gwendale Boyd, Kelly Perryman",Stone Mountain Pirates,48.18
,,3A,"LaQuita Mahone, Keisha Hatter, Kristi Franklin, Anandecka Wallace",Kendrick Cherokees,47.68
,,2A,"Jenell Ali, Michelle Brown, Tonya Ficklin, Selethia Johnson",Crim Eagles,48.54
,,1A,"Melissa Montford, Leslie Davis, Susie Kleinpeter, Liz Thomas",Calvary Baptist Cavaliers,51.25
,1600m Run,4A,Linda Lisska,Brookwood Broncos,05:03.8
,,3A,Sarrah Beth Lassiter,Westminster Wildcats,05:13.7
,,2A,Mickieon Dozier,Crim Eagles,05:27.4
,,1A,Laurie Bizzell,Pace Academy Knights,05:11.3
,400m Dash,4A,Shenita Wilson,Northeast Raiders,54.74
,,3A,Donna Howard,Glenn Hills Spartans,55
,,2A,Michelle Brown,Crim Eagles,56.46
,,1A,Marlo Tanner,Dacula Falcons,01:00.5
,100m Dash,4A,Kelly Perryman,Stone Mountain Pirates,12.2
,,3A,LaQuita Mahone,Kendrick Cherokees,12.33
,,2A,Tiffany Collins,PIerce County Bears,12.01
,,1A,Jennifer Felton,Turner County Rebels,12.62
,100m Low Hurdles,4A,Kim Tedder,Marietta Blue Devils,14.51
,,3A,Andria King,Marist War Eagles,14.76
,,2A,Tonya Ficklin,Crim Eagles,14.6
,,1A,Vontrice Roundtree,Darlington Tigers,14.57
,800m Run,4A,Beth Mallory,Warner Robins Demons,02:18.2
,,3A,Demetrical Hixon,Kendrick Cherokees,02:19.0
,,2A,Michelle Bowen,Crim Eagles,02:20.8
,,1A,Laurie Bizzell,Pace Academy Knights,02:16.0
,200m Dash,4A,Shenita Wilson,Northeast Raiders,24.42
,,3A,Donna Howard,Glenn Hills Spartans,25.13
,,2A,Tiffany Collins,PIerce County Bears,24.82
,,1A,Jennifer Felton,Turner County Rebels,25.55
,3200m Run,4A,Linda Lisska,Brookwood Broncos,11:11.7
,,3A,Kyla Barbour,Marist War Eagles,11:23.7
,,2A,Calah Davis,Gilmer Bobcats,11:55.3
,,1A,Mary Rebecca Harp,Brookstone Cougars,11:37.8
,4x400m Relay,4A,"Desiree Grante, Yolanda Flowers, Toniqua Hay, Pamela White",Douglass (ATL) Astros,03:54.5
,,3A,"Keisha Hatter, Denise Matthews, Kristi Franklin, Anundrika Wallace",Kendrick Cherokees,04:00.9
,,2A,"Tonya Ficklin, Jenell Ali, Michelle Brown, Tawanna Bonner",Crim Eagles,03:58.1
,,1A,"Lauren Bowen, Vontrice Roundtree, Vontrell Roundtree, Valerie Ann Casalini",Darlington Tigers,04:13.3
,High Jump,4A,Yolanda Flowers,Douglass (ATL) Astros,"5' 4"""
,,3A,Cynthia Kelley,Carrollton Trojans,"5' 6"""
,,2A,Shirrill Green,Bacon County Red Raiders,"5' 4"""
,,1A,Cara Gasses,Monticello Purple Hurricanes,"5' 2"""
,Long Jump,4A,Kim Mason,Lassiter Trojans,"17' 7"""
,,3A,Tiffany Oxford,Albany Indians,"17' 7"""
,,2A,Tiffany Collins,PIerce County Bears,"17' 11.25"""
,,1A,Susie Kleinpeter,Calvary Baptist Cavaliers,"17' 3"""
,Shot Put,4A,Joy Brown,Beach Bulldogs,"38' 5.5"""
,,3A,Lesheal Johnson,Columbia Eagles,"39' 4.5"""
,,2A,Lasha Jackson,Lumpkin County Indians,"39' 10.75"""
,,1A,Erika White,Darlington Tigers,"37' 2"""
,Discus,4A,Becky Dyson,Northside (Warner Robins) Eagles,"121' 0"""
,,3A,Lesheal Johnson,Columbia Eagles,"147' 6"""
,,2A,Lasha Jackson,Lumpkin County Indians,"121' 2"""
,,1A,Jennifer Crow,Jefferson Dragons,"116' 5"""
1992,4x100m Relay,4A,"Tammy Williams, Loretha Stanford, Quintessa Harps, Crystal Sullivan",Griffin Bears,48.89
,,3A,"Laquita Mahone, Kristi Franklin, Keisha Hatter, Aundrika Wallace",Kendrick Cherokees,47.83
,,2A,"Tangela Stafford, Latishia Rivers, Lakissa Alford, Parisia Jackson",Cedar Grove Saints,48.86
,,1A,"Kezia Holstein, Tamiko Burley, Carine Harris, Tiffany McGlaughlin",Decatur Bulldogs,50.3
,1600m Run,4A,Christy Robb,Walton Raiders,05:08.3
,,3A,Jenna Yancey,Woodward Academy War Eagles,05:09.3
,,2A,Antoinette Jones,Oconee County Warriors,05:22.7
,,1A,Kelly Cook,Pace Academy Knights,05:02.1
,400m Dash,4A,Shenita Wilson,Northeast Raiders,56.73
,,3A,Melynda Springer,Lithonia Bulldogs,56.1
,,2A,Monique Hunt,Lovett Lions,58.28
,,1A,Laurie Bizzell,Pace Academy Knights,59.03
,100m Dash,4A,Quintessa Harps,Griffin Bears,12.17
,,3A,Shea Thurman,Gordon Central Warriors,11.95
,,2A,Parisa Jackson,Cedar Grove Saints,12.27
,,1A,Nicole Collins,Hawkinsville Red Devils,12.25
,100m Low Hurdles,4A,Siddeegah Powell,Mays Raiders,14.51
,,3A,Tonya Franklin,Crim Eagles,14.63
,,2A,Tangela Stafford,Cedar Grove Saints,14.75
,,1A,Melissa Upton,Wilkinson County Warriors,15.56
,800m Run,4A,Tara Merritt,Brookwood Broncos,02:16.5
,,3A,Demetrical Hixson,Kendrick Cherokees,02:19.2
,,2A,Monique Hunt,Lovett Lions,02:19.7
,,1A,Kelly Cook,Pace Academy Knights,02:15.1
,200m Dash,4A,Quintessa Harps,Griffin Bears,24.61
,,3A,Shea Thurman,Gordon Central Warriors,24.63
,,2A,Tiffany Collins,PIerce County Bears,25.12
,,1A,Nicole Collins,Hawkinsville Red Devils,24.82
,3200m Run,4A,Anita Coverdale,Brookwood Broncos,11:10.3
,,3A,Jenna Yancey,Woodward Academy War Eagles,11:18.7
,,2A,Valerie Ann Casalini,Darlington Tigers,11:35.3
,,1A,Susan Wells,Athens Academy Spartans,11:57.2
,4x400m Relay,4A,"Devon Nobis, Avril James, Joy Johnson, Christy Schwarzman",Walton Raiders,03:58.2
,,3A,"Rhonda McClain, Melynda Springer, Alexia Bowens, Rasheen Murden",Lithonia Bulldogs,03:55.4
,,2A,"Tonya Shelton, Angie King, DeDe Jones, Kim Owensby",Oconee County Warriors,04:06.3
,,1A,"Adrian Thompson, Tiffany McGlaughlin, Tamiko Burley, Amy Samuels",Decatur Bulldogs,04:08.7
,High Jump,4A,Nicole Hiserman,Pope Greyhounds,"5' 4"""
,,3A,Tanyala Miller,Monroe (Albany) Tornadoes,"5' 6"""
,,2A,Christy Shull,Model Blue Devils,"5' 6"""
,,1A,Uvonda Jackson,Wrens Colts (Jefferson County),"5' 2"""
,Long Jump,4A,Mia Florence,McEachern Indians,"17' 9.75"""
,,3A,Tiffany Offord,Albany Indians,"18' 1"""
,,2A,Jule Smart,Pepperell Dragons,"16' 6.5"""
,,1A,Nicole Collins,Hawkinsville Red Devils,"18' 1"""
,Shot Put,4A,Lesheal Johnson,Columbia Eagles,"41' 4.5"""
,,3A,Jovanda Brunt,Spencer Owls,"39' 0.75"""
,,2A,Sha Jackson,Lumpkin County Indians,"38' 11.25"""
,,1A,Sherraine James,Dooly County Bobcats,"36' 4.5"""
,Discus,4A,Lasheal Johnson,Columbia Eagles,"131' 1"""
,,3A,Tomekia Dunson,Central (Carroll) Lions,"118' 8"""
,,2A,Monica Hudson,East Hall Vikings,"118' 6"""
,,1A,Jennifer Crowe,Jefferson Dragons,"111' 3"""
1991,4x100m Relay,4A,"Tomyka Johnson, Shayne Weeks, Tanneshia Curtis, Keshius Gilliam",McNair Mustangs,48.79
,,3A,"Monique Walton, Lakeshia Hatter, Kristi Franklin, Aundeika Wallace",Kendrick Cherokees,57.87
,,2A,"Christy Manley, Cynthia Manley, Tonja Robinson, Bail Colsen",Fulton (ATL) Redbirds (South Atlanta),50.14
,,1A,"D'Metric Parks, Naque Beard, Tina Hunter, Lekeitha Bussey",Lincoln County Red Devils,51.13
,1600m Run,4A,Anita Coverdale,Brookwood Broncos,05:15.2
,,3A,Jenna Yancey,Woodward Academy War Eagles,05:16.2
,,2A,Monique Hunt,Lovett Lions,05:18.0
,,1A,Kelly Cook,Pace Academy Knights,05:09.5
,400m Dash,4A,Shenita Wilson,Northeast Raiders,56.76
,,3A,Michell Brown,Crim Eagles,56.49
,,2A,Celeste Moreland,Rockmart Yellow Jackets,57.64
,,1A,Keisha Lee,Reidsville Tigers (Tattnall County),58.9
,100m Dash,4A,Valeria Reid,Troup Tigers,12.48
,,3A,Chequita Brady,Burke County Bears,11.95
,,2A,Tiffany Collins,PIerce County Bears,12.5
,,1A,Nicole Collins,Hawkinsville Red Devils,12.4
,100m Low Hurdles,4A,Kim Tedder,Marietta Blue Devils,14.87
,,3A,Andrea Autrey,Carver (Columbus) Tigers,14.38
,,2A,Tonya Weatherspoon,Cedar Grove Saints,15.14
,,1A,Juanita Fuller,Irwin County Indians,15.96
,800m Run,4A,Tara Merritt,Brookwood Broncos,02:17.6
,,3A,Dana Dumas,Crim Eagles,02:18.1
,,2A,Monique Hunt,Lovett Lions,02:16.4
,,1A,Kelly Cook,Pace Academy Knights,02:16.3
,200m Dash,4A,Telsie Andrews,Mays Raiders,25.49
,,3A,Shea Thurman,Gordon Central Warriors,24.66
,,2A,Celeste Moreland,Rockmart Yellow Jackets,25.86
,,1A,Nicole Collins,Hawkinsville Red Devils,25.52
,3200m Run,4A,Anita Coverdale,Brookwood Broncos,11:15.7
,,3A,Jenna Yancey,Woodward Academy War Eagles,11:30.1
,,2A,Valerie Ann Casalini,Darlington Tigers,11:40.2
,,1A,Sarah Beth Lassiter,Mount Vernon Presbyterian Mustangs,12:13.0
,4x400m Relay,4A,"Tunisia Grant, Shalaiwah Charlton, Saidah Jones, Nicole Anderson",Redan Raiders,03:59.0
,,3A,"Jenell Ali, Shawn Allen, Tonya Ficklin, Michelle Brown",Crim Eagles,03:51.2
,,2A,"Erica Barnes, Cotina Stapleton, Vickie Curry, Mercedes Wright",Early County Bobcats,04:07.5
,,1A,"Marnie McMillian, Liz Thomas, Jenny Purcell, Susie Kleinpeter",Calvary Baptist Cavaliers,04:13.1
,High Jump,4A,Delisha Martin,Bradwell Institute Tigers,"5' 4"""
,,3A,Denise Simpson,Shaw Raiders,"5' 6"""
,,2A,Hayden Whitehurst,Early County Bobcats,"5' 4"""
,,1A,Uvonda Jackson,Wrens  Colts (Jefferson County),"5' 3"""
,Long Jump,4A,Tonya Woolfolk,Southwest (Macon) Patriots,"17' 10.5"""
,,3A,Tanyala Miller,Monroe (Albany) Tornadoes,"17' 9.74"""
,,2A,Shakelea Wesley,East Laurens Falcons,"16' 8"""
,,1A,Nicole Collins,Hawkinsville Red Devils,"18' 11.25"""
,Shot Put,4A,Beatrice Sams,Northeast Raiders,"36' 3.25"""
,,3A,Jennfer Jackson,Camden County Wildcats,"37' 7.5"""
,,2A,Caroline Eva Peek,Darlington Tigers,"37' 4.5"""
,,1A,Lena Byrd,Reidsville Tigers (Tattnall County),"34' 8.75"""
,Discus,4A,Lesheal Johnson,Columbia Eagles,"131' 10"""
,,3A,LaJoyce Davis,Kendrick Cherokees,"119' 4"""
,,2A,Monica Hudson,East Hall Vikings,"116' 4"""
,,1A,Elaine Ballard,Greenville Patriots,"108' 6"""
1990,4x100m Relay,4A,"Kenay Walton, Kriscina Lancaster, Yolanda Taylor, Jennifer Johnson",Carver (Columbus) Tigers,48.43
,,3A,"Latricia Butler, Angela Rowe, Leslie Delara, Germaino Crocker",Clarkston Angoras,48.97
,,2A,"Lavon Mason, Kelli Moss, Felicia Moore, Yolanda Parks",Campbell (Fairburn) Bears (Creekside),49.75
,,1A,"Retina Oliver, Kanwanda Anderson, Regina Oliver, Cynthia Haynes",Calhoun County Cougars,50.13
,1600m Run,4A,Marny Westphal,Brookwood Broncos,04:53.2
,,3A,Judith McCullough,Westminster Wildcats,05:19.4
,,2A,Monique Hunt,Lovett Lions,05:18.1
,,1A,Kelly Cook,Pace Academy Knights,05:15.2
,400m Dash,4A,Monique Walton,Kendrick Cherokees,57.29
,,3A,Doy Kidd,Hart County Bulldogs,57.27
,,2A,Celeste Moreland,Rockmart Yellow Jackets,57.1
,,1A,Laurie Bizzell,Mount Vernon Presbyterian Mustangs,58.9
,100m Dash,4A,Kenya Walton,Carver (Columbus) Tigers,11.89
,,3A,Germaino Crocker,Clarkston Angoras,12.16
,,2A,Shea Thurman,Gordon Central Warriors,11.99
,,1A,Frieda Fullwood,Richmond HIll Wildcats,12.53
,100m Low Hurdles,4A,Trina Houseworth,McEachern Indians,14.37
,,3A,Leslie Delara,Clarkston Angoras,14.65
,,2A,Felicia Pasley,Cartersville Purple Hurricanes,15;03
,,1A,Juanita Fuller,Irwin County Indians,15.5
,800m Run,4A,Amy Sasser,Brookwood Broncos,02:19.6
,,3A,Kate Gibeaut,Westminster Wildcats,02:22.1
,,2A,Monique Hunt,Lovett Lions,02:17.7
,,1A,Laurie Bizzell,Mount Vernon Presbyterian Mustangs,58.9
,200m Dash,4A,Kenya Walton,Carver (Columbus) Tigers,24.69
,,3A,Germaino Crocker,Clarkston Angoras,25.23
,,2A,Shea Thurman,Gordon Central Warriors,25
,,1A,Cumesha Montgomery,Taylor County Vikings,25.94
,3200m Run,4A,Marny Westphal,Brookwood Broncos,11:00.4
,,3A,Judith McCullough,Westminster Wildcats,11:31.0
,,2A,Michelle Palmer,Cartersville Purple Hurricanes,12:00.4
,,1A,Jenna Yancey,Mount Vernon Presbyterian Mustangs,11:52.4
,4x400m Relay,4A,"Monique Walton, Denise Matthews, Tamara Johnson, Shelley Pearson",Kendrick Cherokees,04:03.2
,,3A,"Germaino Crocker, Keochaun Kendrick, Angela Rowe, Leslie Delara",Clarkston Angoras,04:05.9
,,2A,"Tonya Ficklin, Shawn Allen, Dana Dumas, Michelle Brown",Crim Eagles,03:57.9
,,1A,"Retina Oliver, Cynthia Haynes, Regina Oliver, Kanwanda Anderson",Calhoun County Cougars,04:10.4
,High Jump,4A,Keta Thrower,Northside (Warner Robins) Eagles,"5' 6"""
,,3A,Kristen Budz,St. Pius X Golden Lions,"5' 4"""
,,2A,Nae Nae Daniels,West Rome Chieftans (Rome),"5' 7"""
,,1A,Shannon Trammell,Crawford County Eagles,"5' 0"""
,Long Jump,4A,Kenya Walton,Carver (Columbus) Tigers,"18' 10"""
,,3A,Tanyla Miller,Monroe (Albany) Tornadoes,"17' 11.25"""
,,2A,Deborah Reese,Putnam County Blue Devils,"17' 1"""
,,1A,Retina Oliver,Calhoun County Cougars,"16' 7"""
,Shot Put,4A,Shawn Tucker,North Cobb Warriors,"41' 9.5"""
,,3A,Veronica Bradley,Worth County Rams,"37' 4.25"""
,,2A,Kerawanna White,Crim Eagles,"35' 10.75"""
,,1A,Rhonda Hall,Reidsville Tigers (Tattnall County),"42' 8"""
,Discus,4A,Shawn Tucker,North Cobb Warriors,"137' 10"""
,,3A,Angela Rowe,Clarkston Angoras,"119' 1"""
,,2A,Kerawanna White,Crim Eagles,"114' 2"""
,,1A,Rhonda Hall,Reidsville Tigers (Tattnall County),"128' 6"""
1989,4x100m Relay,4A,"Yolanda Taylor, Kenya Walton, Tobyette Simmons, Krischinda Lancaster",Therrell Panthers,48.63
,,3A,"Josie Ward, Nikkie Bechom, Valerie Reed, Melissa Shumake",Troup Tigers,49.4
,,2A,"Lavone Mayson, Kelley Moss, Felecia Moore, Lolanda Parks",Campbell (Fairburn) Bears (Creekside),50.6
,,1A,"Casey McCall, Tangie Jordan, Audra Lee, Janice Johnson",Reidsville Tigers (Tattnall County),50.71
,1600m Run,4A,Marny Westphal,Brookwood Broncos,05:03.5
,,3A,Tracy Stevenson,Westminster Wildcats,05:14.8
,,2A,Monique Hunt,Lovett Lions,05:11.8
,,1A,Sunny Deaton,Athens Academy Spartans,05:24.7
,400m Dash,4A,Kimberly Mitchell,Therrell Panthers,56.2
,,3A,Leigh Weathers,Lakeside (Dekalb) Vikings,58.65
,,2A,Audrey Dempsey,North Fulton Bulldogs (North Atlanta),59.6
,,1A,Carla Morrell,Dooly County Bobcats,59.63
,100m Dash,4A,Kenya Walton,Carver (Columbus) Tigers,12.17
,,3A,Valerie Reed,Troup Tigers,12.06
,,2A,Tisha Prather,Sequoyah (DeKalb) Braves (Chamblee),11.81
,,1A,Nicole Collins,Hawkinsville Red Devils,12.47
,100m Low Hurdles,4A,Kelli Robinson,Redan Raiders,14.31
,,3A,Leslie Delara,Clarkston Angoras,15
,,2A,Aundrey Dempsey,North Fulton Bulldogs (North Atlanta),14.64
,,1A,Retina Oliver,Calhoun County Cougars,15.59
,800m Run,4A,Marny Westphal,Brookwood Broncos,02:13.6
,,3A,Tasha Richardson,Lakeside (Dekalb) Vikings,02:22.9
,,2A,Monique Hunt,Lovett Lions,02:18.0
,,1A,Erin Tomblin,Greater Atlanta Christian Spartans,02:29.2
,200m Dash,4A,Kimberly Mitchell,Therrell Panthers,24.21
,,3A,Germaine Crocker,Clarkston Angoras,25.19
,,2A,Tisha Prather,Sequoyah (DeKalb) Braves (Chamblee),24.9
,,1A,Lisa Jones,Crawford County Eagles,25.82
,3200m Run,4A,Danielle Adams,Lassiter Trojans,11:11.6
,,3A,Tracey Harrell,Tucker Tigers,11:19.3
,,2A,Michelle Palmer,Cartersville Purple Hurricanes,11:55.8
,,1A,Sunny Deaton,Athens Academy Spartans,11:54.8
,4x400m Relay,4A,"Sherrly Clark, Lisa Drayden, Ntale Kajumba, Kimberly Mitchell",Therrell Panthers,03:57.1
,,3A,"Tasha Richardson, Cassandra Cooper, Theresa Dix, Leigh Weathers",Lakeside (DeKalb) Vikings,04:02.2
,,2A,"Joanne Ward, Shawn Allen, Yulinda Bonner, Yketta Tinch",Crim Eagles,04:06.8
,,1A,"Casey McCall, Tangie Jordan, Audra Lee, Janice Johnson",Reidsville Tigers (Tattnall County),04:08.6
,High Jump,4A,Jennifer Fine,Henderson (DeKalb) Cougars,"5' 2"""
,,3A,Kristen Budz,St. Pius X Golden Lions,"5' 6"""
,,2A,Nae Nae Daniel,West Rome Chieftans (Rome),"5' 4"""
,,1A,Lisa Jones,Crawford County Eagles,"5' 2"""
,Long Jump,4A,Kimberly Mitchell,Therrell Panthers,"19' 0.5"""
,,3A,Tangela Miller,Monroe (Albany) Tornadoes,"17' 2.75"""
,,2A,Deborah Reese,Putnam County Blue Devils,"17' 8.25"""
,,1A,Nicole Collins,Hawkinsville Red Devils,"17' 11.75"""
,Shot Put,4A,Shawn Tucker,North Cobb Warriors,"38' 7.25"""
,,3A,Liz Anderson,Northwest Whitfield Bruins,"37' 4.75"""
,,2A,Patricia Taylor,Rabun County Wildcats,"37' 4"""
,,1A,Rhonda Hall,Reidsville Tigers (Tattnall County),"43' 8.75"""
,Discus,4A,Shawn Tucker,North Cobb Warriors,"132' 5"""
,,3A,Angela Rowe,Clarkston Angoras,"114' 4"""
