"State","Year","Gender","Event","Mark"
"Georgia",1987,"Boys","High Jump",1.9304
"Georgia",1987,"Boys","Pole Vault",3.81
"Georgia",1987,"Girls","100m",11.9
"Georgia",1987,"Girls","1600m",298.3
"Georgia",1987,"Girls","800m",131.8
"Georgia",1987,"Girls","High Jump",1.5748
"Georgia",1988,"Boys","100m",10.64
"Georgia",1988,"Boys","1600m",250.9
"Georgia",1988,"Boys","800m",114.1
"Georgia",1988,"Boys","High Jump",1.9304
"Georgia",1988,"Boys","Pole Vault",3.81
"Georgia",1988,"Girls","100m",11.83
"Georgia",1988,"Girls","1600m",294.6
"Georgia",1988,"Girls","800m",130.1
"Georgia",1988,"Girls","High Jump",1.5748
"Georgia",1989,"Boys","100m",10.62
"Georgia",1989,"Boys","1600m",260.8
"Georgia",1989,"Boys","800m",113.2
"Georgia",1989,"Boys","High Jump",1.9304
"Georgia",1989,"Boys","Pole Vault",3.81
"Georgia",1989,"Girls","100m",11.81
"Georgia",1989,"Girls","1600m",303.5
"Georgia",1989,"Girls","800m",133.6
"Georgia",1989,"Girls","High Jump",1.5748
"Georgia",1990,"Boys","100m",10.59
"Georgia",1990,"Boys","1600m",258.6
"Georgia",1990,"Boys","800m",114.4
"Georgia",1990,"Boys","High Jump",2.032
"Georgia",1990,"Boys","Pole Vault",3.81
"Georgia",1990,"Girls","100m",11.89
"Georgia",1990,"Girls","1600m",293.2
"Georgia",1990,"Girls","800m",NA
"Georgia",1990,"Girls","High Jump",1.524
"Georgia",1991,"Boys","100m",10.71
"Georgia",1991,"Boys","1600m",256
"Georgia",1991,"Boys","800m",112.8
"Georgia",1991,"Boys","High Jump",1.9304
"Georgia",1991,"Boys","Pole Vault",3.81
"Georgia",1991,"Girls","100m",11.95
"Georgia",1991,"Girls","1600m",309.5
"Georgia",1991,"Girls","800m",136.3
"Georgia",1991,"Girls","High Jump",1.6002
"Georgia",1992,"Boys","100m",10.51
"Georgia",1992,"Boys","1600m",254.3
"Georgia",1992,"Boys","800m",114.5
"Georgia",1992,"Boys","High Jump",1.8796
"Georgia",1992,"Boys","Pole Vault",3.9624
"Georgia",1992,"Girls","100m",11.95
"Georgia",1992,"Girls","1600m",302.1
"Georgia",1992,"Girls","800m",135.1
"Georgia",1992,"Girls","High Jump",1.5748
"Georgia",1993,"Boys","100m",10.55
"Georgia",1993,"Boys","1600m",254.2
"Georgia",1993,"Boys","800m",113.8
"Georgia",1993,"Boys","High Jump",1.9304
"Georgia",1993,"Boys","Pole Vault",3.6576
"Georgia",1993,"Girls","100m",12.01
"Georgia",1993,"Girls","1600m",303.8
"Georgia",1993,"Girls","800m",136
