Column1,Column2,Column3
"2013Westfield State, MA",(G) 880y / 800m2:09.29,Karina ShepardDracut
"2013Westfield State, MA",(G) 440y / 400M56.82,Sierra IrvinHingham
"2013Westfield State, MA",(B) Long Jump23-05.25,Alex NiemiecChicopee Comprehensive
"2013Westfield State, MA",(G) Pole Vault11-00.00,Bridget OwenAlgonquin
"2013Westfield State, MA",(G) 4X8009:20.81,#NAME?
"2013Westfield State, MA",(B) Triple Jump48-00.50,Jordan SamuelsBoston College HS
"2013Westfield State, MA",(G) 2 MILE10:34.25,Catarina RochaPeabody
"2013Westfield State, MA",(G) Long Jump18-03.75,Bianca St. FleurMelrose
"2013Westfield State, MA",(B) Discus155-05,Steve PrestonNewburyport
"2013Fitchburg State, MA",(B) Team Champion49.75,Newton NorthNewton North
"2013Westfield State, MA",(B) 4X8007:51.43,#NAME?
"2013Westfield State, MA",(G) Triple Jump37-07.50,Brooke NadeauMillbury
"2013Westfield State, MA",(B) 220y / 200M21.68,PJ HayesWalpole
"2012Fitchburg State, MA",(G) 4X8009:18.23,"Kerry Phelan, Meg Blatchford, Sarah Duffy, Emily SenningHamilton-Wenham"
"2012Fitchburg State, MA",(B) High Jump6-08.00,Khary Bailey-SmithWeymouth
"2012Fitchburg State, MA",(G) Shot Put41-07.00,Elizabeth BrayWakefield
"2012Fitchburg State, MA",(G) 100y / 100M12.31,Briana RobitailleAttleboro
"2012Fitchburg State, MA",(B) Discus164-11,Brian SullivanHingham
"2012Fitchburg State, MA",(G) Pole Vault11-06.00,Casey TeskaNashoba
"2012Fitchburg State, MA",(G) Discus123-08,Jackie VaheyWinchester
"2012Fitchburg State, MA",(G) 880y / 800m2:12.66,Laura WilliamsonWachusett
"2012Fitchburg State, MA",(B) 4X8007:54.46,"Chrtistian Stafford, Billy Stafford, Joe Vercollone, Wesley GallagherPembroke"
"2012Fitchburg State, MA",(G) High Jump5-08.00,Amy CollinsWachusett
"2012Fitchburg State, MA",(G) 440y / 400M57.36,Maya JarostchukActon-Boxborough
"2012Fitchburg State, MA",(G) 2 MILE10:45.50,Catarina RochaPeabody
"2012Fitchburg State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.65,Jaun MaysonetteWestfield
"2012Fitchburg State, MA",(B) 4x110y / 4x100M42.69,"Hanif Conrad, Donovan Henry, David Berment, Curtis WestCatholic Memorial"
"2012Fitchburg State, MA",(G) 4x440 / 4x4003:53.08,"Meghan Dowd, Jasmine Cook, Laura Williamson, Amy CollinsWachusett"
"2012Fitchburg State, MA",(B) Pole Vault15-03.00,Brendan SullivanWestford Academy
"2012Fitchburg State, MA",(G) Triple Jump40-00.00,Carla ForbesNewton North
"2012Fitchburg State, MA",(B) 880y / 800m1:51.99,Josh LampronMansfield
"2012Fitchburg State, MA",(G) Javelin130-02,Lauren KennedyEast Longmeadow
"2012Fitchburg State, MA",(B) Long Jump22-09.00,Kris HornPembroke
"2012Fitchburg State, MA",(B) 440y / 400M49.30,Matt BaldasareMansfield
"2012Fitchburg State, MA",(G) 1 MILE4:59.90,Madison GrangerBelchertown
"2012Fitchburg State, MA",(G) 4x110y / 4x100M48.94,"Vanessa Clerveaux, Talia Halliday, Milan Neville, Nikayla SimpsonBrockton"
"2012Fitchburg State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:02.17,Jennifer EspositoMansfield
"2012Fitchburg State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.36,Vanessa ClerveauxBrockton
"2012Fitchburg State, MA",(B) 220y / 200M21.87,Donovan HenryCatholic Memorial
"2012Fitchburg State, MA",(B) 100y / 100M10.75,Charles RuffinKing Philip
