2006 Girls Track & Field State Champions,x,x,x
AAAA  Ryan Tolbert,Clovis,15.01,
AAA Robin Overson,Bloomfield,15.63,
AA Estela Tenorio,Santa Rosa,17.53,
A Shannon Arant,Dora,15.04,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,44.25,
AAA Nava Scarbrough,Oñate,46.55,
AA Becky Jordan,Eunice,47.26,
A Shannon Arant,Dora,45.88,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,49.58,
AAA,Deming,50.25,
AA,Santa Rosa,52.36,
A,Capitan,51.95,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Clovis,01:45.2,
AAA,Deming,01:44.4,
AA,Clayton,01:51.4,
A,Cimarron,01:51.6,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Eldorado,04:19.7,
AAA,Belen,04:14.5,
AA,Santa Fe Prep,04:35.0,
A,Texico,04:36.9,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Clovis,03:58.9,
AAA,Deming,04:00.6,
AA,Clayton,04:30.0,
A,Capitan,04:16.1,
Shot Put,,,
Class Name,,School,Distance
AAAA  Kelly Bickham,,Alamogordo,39’-06.00
AAA Becky Dale,,Lovington,36’-06.00”
AA Mary Ann Castillo,,Lordsburg,33’-02.50”
A Felicia Knox,,Cimarron,34’-05.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Kelly Bickham,,Alamogordo,142’-10.00”
AAA Mariel Garcia,,Belen,122’-11.00”
AA Jody Brown,,Navajo Pine,111’-17.50”
A Tycie Tralor,,Capitan,114’-02.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Melinda Carter,,Manzano,17’-07.75”
AAA Miranda Baca,,Albuquerque Academy,17’-00.50”
AA Danika Taylor,,Hope,17’-10.75”
A Kristy Harltey,,Roy,17”-00.25”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Ryan Rolbert,,Clovis,5’-06.00”
AAA Sherri Cain,,Portales,5’-04.00”
AA Tenille Suggs,,Tularosa,5’-02.00”
A Kristi Harltey,,Roy,5’-06.00”
1993 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Ami Konte Eldorado 12.76,,,
AAA Lanell Scarbrough Oñate 12.67,,,
AA Diwiki Taylor  Hope 13.57,,,
A Khali Hunter Mountainair 13.50,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Ryan Tolbert Clovis  26.21,,,
AAA Lanell Scarbrough  Oñate 26.38,,,
AA Jessica York  Clayton 26.65,,,
A Khali Hunter Mountainair  26.59,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Monique Harris  Clovis57.61,,,
AAA Audrey Madrid Silver 56.62,,,
AA Katie Rogers Hot Springs 1:01.58,,,
A Sarah Bland Tatum1:00.23,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Susan Prentice  Sandia  2:21.15,,,
AAA Veronica Montoya  Oñate 2:16.32,,,
AA DeAlva Calbaza Santa Fe Indian  2:33.56,,,
A Mary Boot  Rehoboth  2:25.69,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Janet TrujilloEldorado 5:09.29,,,
AAA Justine Fox-Young Albuquerque Academy 5:08.82,,,
AA Melissa Lucero Laguna-Acoma 5:13.80,,,
A Mary Boot  Rehoboth  5:22.54,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Janet Trujillo Eldorado 11:24.02,,,
AAA Justine Fox-Young Albuquerque Academy 11:38.15,,,
AA Melissa Lucero Laguna-Acoma 11:23.23,,,
A Betty Boot  Rehoboth  12:20.26,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,15.06,
AAA Abby Hoover,Albuquerque Academy,14.92,
AA Becky Jordan,Eunice,16.39,
A Shannon Arant,Dora,15.64,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,44.98,
AAA Abby Hoover,Albuquerque Academy,43.67,
AA Becky Jordan,Eunice,48.19,
A Sarah Jones,Pine Hill,47.66,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,49.58,
AAA,Silver,49.68,
AA,Santa Rosa,52.33,
A,Texico,52.77,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Roswell,01:44.5,
AAA,Silver,01:44.1,
AA,Santa Rosa,01:50.8,
A,Texico,01:52.5,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Alamogordo,04:22.8,
AAA,Silver,04:13.6,
AA,Hot Springs,04:38.2,
A,Fort Sumner,04:35.7,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Clovis,04:02.3,
AAA,Deming,04:04.1,
AA,Santa Rosa,04:16.6,
A,Roy,04:19.5,
Shot Put,,,
Class Name,,School,Distance
AAAA  Ieka Ellis,,Albuquerque,42’-01.50”
AAA Melissa Fletcher,,Cobre,40’-03.75
AA Michelle Juarez,,Dexter,35’-02.00”
A Felice Knox,,Cimarron,34’-10.50”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Kelly Bickham,,Alamogordo,131’-10.00”
AAA Luciana Velasquez,,Aztec,118’-02.00”
AA Michelle Juarez,,Dexter,111’-11.00”
A Felice Knox,,Cimarron,106’-03.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Amanda Garza,,Gadsden,16’-8.75”
AAA Abby Hoover,,Albuquerque Academy,17’-01.25”
AA Danika Taylor,,Hope,15’-10.75”
A Kodi Mackenchie,,Grady,15’-11.50”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Cassie Nault,,Hobbs,5’-06.00”
AAA Kristina Dominguez,,Grants,5’-04.00”
AA Tenille Suggs,,Tularosa,4’-10.00”
A Kristi Hartley,,Roy,5’-04.00”
1992 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Michelle Apodaca  Mayfield 12.60,,,
AAA Lanell Scarbrough Oñate 12.29,,,
AA Abra Anelifte  Sandia Prep 13.37,,,
A Dona Howell Elida 12.98,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Tanya Chavez  Valley  25.51,,,
AAA Lanell Scarbrough Oñate26.26,,,
AA Katie Rogers Hot Springs 27.39,,,
A Shelly Slaughter Grady 27.27,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Monique Poindexter Del Norte  58.39,,,
AAA Audrey Madrid Silver 57.13,,,
AA Tammy Perea  Mora 60.88,,,
A Melinda Hronich Cimarron 60.50,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Sara Glover Eldorado 2:19.20,,,
AAA Latisha Wayne Oñate 2:21.42,,,
AA Krista LaSosa  Santa Fe Prep  2:27.25,,,
A Lindsay Kittrell Texico  2:31.30,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Janet Trujillo Eldorado 5:12.91,,,
AAA Stephanie Milam Bloomfield 5:13.29,,,
AA Melissa Lucero Laguna-Acoma 5:22.58,,,
A Mary Boot  Rehoboth  5:36.33,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Janet Trujillo Eldorado  11:35.41,,,
AAA Stephanie Milan  Bloomfield 11:16.17,,,
AA Melissa Lucero Laguna-Acoma 12:04.1,,,
A Name,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,14.69,
AAA Abby Hoover,Albuquerque Academy,15.01,
AA Becky Jordan,Eunice,17.09,
A Aran Shannon,Dora,15.72,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,43.13,
AAA Abby Hoover,Albuquerque Academy,44.3,
AA Becky Jordan,Eunice,48.16,
A Shannon Arant,Dora,48.07,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,48.92,
AAA,Oñate,49.06,
AA,Clayton,51.85,
A,Cimarron,52,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Eldorado,01:45.2,
AAA,Oñate,01:44.7,
AA,Hot Springs,150.22,
A,Elida,01:50.2,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Sandia,04:15.2,
AAA,Oñate,04:20.3,
AA,Santa Fe Indian,04:38.2,
A,Cimarron,04:34.0,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Clovis,03:58.8,
AAA,Silver,04:03.5,
AA,Sandia Prep,04:17.9,
A,Capitan,04:16.1,
Shot Put,,,
Class Name,,School,Distance
AAAA  Tineka Hoover,,Albuquerque,40’-09.00”
AAA Sheila Hoover,,Goddard,37’-02.25”
AA Michelle Juarez,,Dexter,34’-10.00”
A Amanda Gallegos,,Fort Sumner,33’-05.50”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Kelly Bickham,,Alamogordo,134’-10.00”
AAA Monica Martinez,,Ruidoso,120’-06.00”
AA Shelly Westmoreland,,Eunice,108’-04.00”
A Dana Lambert,,Tatum,111’-11.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Kristen Bell,,Del Norte,17’-10.00”
AAA Lanell Scarbrough,,Oñate,17’-08.75”
AA Lori Merrill,,Peñasco,16’-08.25”
A Kristy Hartley,,Roy,16’-07.00”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Jana Geisler,,Los Alamos,5’-08.00”
AAA Kathy Kline,,Aztec,5’-03.00”
AA Raina Richards,,Estancia,5’-00.00”
A Kristy Hartley,,Roy,5’-04.00”
1991 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Angela Jackson Albuquerque 12.50,,,
AAA Lanell Scarbrough Oñate 13.07,,,
AA Abra Becker-Ancliff Sandia Prep 12.52,,,
A Corinne Madrill Magdalena 12.59,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Angela Jackson Albuquerque 25.70,,,
AAA Lanell Scarbrough Oñate 26.74,,,
AA Abra Becker-Ancliff Sandia Prep 28.21,,,
A Kodi Mackenchine Grady 28.41,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Nicki Geherett  Clovis  57.29,,,
AAA Audrey Madrid Silver 58.79,,,
AA Stacey Cox Hot Springs 58.84,,,
A Jessica Litke Fort Sumner 61:82,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Melene Ingram  Las Cruces 2:22.74,,,
AAA Latisha Wayne  Oñate 2:19.15,,,
AA Stacey Cox Hot Springs 2:24.28,,,
A Tammy Lieb Elida  2:32.61,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Janet Trujillo Eldorado 5:22.22,,,
AAA Latisha Wayne  Oñate 5:17.20,,,
AA Melissa Lucero Laguna-Acoma 5:31.27,,,
A Mary Boot  Rehoboth  5:30.50,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Janet TrujilloEldorado 11:35.94,,,
AAA Staphanie Milan  Bloomfield 12:15.61,,,
AA Melissa Lucero Laguna-Acoma 12:32.31,,,
A Betty Boot Rehoboth  12:54.44,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,15.24,
AAA Amber Griswold,Silver,16.32,
AA Becky Jordan,Eunice,16.75,
A Kristi Hartley,Roy,16.34,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Ryan Tolbert,Clovis,45.43,
AAA Maria Rodriguez,Deming,46.18,
AA Kristie Dabovich,Clayton,52.13,
A Kristi Hartley,Roy,48.34,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,48.87,
AAA,Silver,49.55,
AA,Mora,52.16,
A,Texico,52.55,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Clovis,01:44.7,
AAA,Oñate,01:46.2,
AA,Clayton,01:52.1,
A,Capitan,01:51.8,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Del Norte,04:18.6,
AAA,Oñate,04:27.2,
AA,Hot Springs,04:43.9,
A,Rehoboth,04:37.0,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Clovis,04:02.3,
AAA,Oñate,04:07.4,
AA,Mora,04:22.7,
A,Capitan,04:19.2,
1988 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Shelia BurrellRio Grande  11.78,,,
AAA Lisa Matthews Artesia  12.88,,,
AA Dee Dee Sanders Hot Springs 12.17,,,
A Joey HIlburn  Tatum  12.20,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Shelia Burrell  Rio Grande  25.14,,,
AAA Peggy Fowler  Cobre 25.77,,,
AA Dee Dee Sanders Hot Springs 26.51,,,
A Joey Hilburn Tatum  25.24,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Nikki Gehrett  Clovis  57.72,,,
AAA Ruth Brown  Lovington 57.84,,,
AA Dee Dee Sanders Hot Springs 59.21,,,
A Joey Hilburn Tatum  58.86,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Veronica Trujilllo Roswell 2:21.77,,,
AAA Veronica Flores Robertson 2:26.14,,,
AA Jeanine Caldwell Clayton 2:31.59,,,
A Joey Hilburn Tatum  2:18.64,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Christie Freisson  Manzano 5:16.08,,,
AAA Angie Lee  Bloomfield 5:19.65,,,
AA Jeatonne Gallegos Santa Rosa  6:03.80,,,
A Wynona Larson St. Catherine’s 5:25.91,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Melissa Weaver Sandia  11:38.62,,,
AAA Angie Lee Bloomfield  11:37.51,,,
AA Maria Magdalena  Jemez Valley  12:21.67,,,
A Wynona Larson St. Catherine’s  12:04.04,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Kitrian Martin,Farmington,15.16,
AAA Michelle Minica,Tucumcari,15.31,
AA Jamie Jesko,Clayton,16.03,
A Denisa Lightfoot,Corona,18.04,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Natanya Jones,Highland,44.89,
AAA Michelle Minica,Tucumcari,45.52,
AA Jamie Jesko,Clayton,48.45,
A Amy Chadwick,Texico,47.14,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,49.31,
AAA,Cobre,49.78,
AA,Clayton,51.75,
A,Capitan,51.86,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Clovis,01:43.6,
AAA,Silver City,01:46.9,
AA,Clayton,01:49.6,
A,Texico,01:49.1,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,La Cueva,04:19.4,
AAA,Tucumcari,04:21.1,
AA,Laguna-Acoma,04:36.2,
A,Texico,04:31.6,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Clovis,04:00.0,
AAA,Pojoaque,04:13.5,
AA,Clayton,04:20.3,
A,Fort Sumner,04:22.2,
Shot Put,,,
Class Name,,School,Distance
AAAA  Mara Beverwyck,,Los Alamos,39’-08.75”
AAA Ernestine Platero,,Kirtland Central,37’-06.25”
AA Jennifer Pope,,Hot Springs,36’-10.00”
A Katheryn Troublefield,,Hagerman,32’-09.50”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Olivia Tellez,,Carlsbad,117’-10.00”
AAA Cathie Crow,,Lovington,129’-01.00”
AA Jodie Orlynda,,Crownpoint,108’-06.00”
A Amy Dahl,,Roy,117’-04.75”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Shelia Burrell,,Rio Grande,17’-04.75”
AAA Tracy Spence,,Aztec,18’-03.25”
AA Samantha Lopez,,Peñasco,15’-08.75”
A Joey Hilburn,,Tatum,17’03.50”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Kitrian Martin,,Farmington,5’-04.00”
AAA Colette Hatch,,Kirtland Central,5’-04.00”
AA Aura Cook,,Questa,5’-05.50”
A Kelli Thurman,,Elida,5’-07.25”
1987 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Tanya Florence  Eldorado 12.30,,,
AAA Peggy Fowler  Cobre 12.55,,,
AA Vicki Perez Jal 12.90,,,
A Tina Brooks Tatum  12.59,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Michele Carter Los Alamos 25.85,,,
AAA Peggy Fowler  Cobre 26.44,,,
AA Vicki Perez Jal 26.54,,,
A Joey Milburn Tatum  24.94,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Shannon McBride  Clovis  57.78,,,
AAA Teresa Mc Pherson Aztec 59.91,,,
AA Jerri Cordova Santa Rosa  62.78,,,
A Joey Miburn Tatum  58.90,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Josie Wurst Santa Fe 2:19.59,,,
AAA Kim Spangler  Bloomfield 2:22.47,,,
AA Jackie Casador Dulce 2:35.23,,,
A Lisa Gonzalez  Mountainair 2:29.55,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Melissa Weaver Sandia  5:15.56,,,
AAA Angela Lee Bloomfield 5:25.63,,,
AA Michaelyn Jodie Crownpoint 5:28.19,,,
A Wyona Larson St. Catherine’s 5:50.90,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Laura Romero  Santa Fe  11:33.47,,,
AAA Angie Lee Bloomfield 11:57.64,,,
AA Michaelyn Jodie  Crown Point 12:21.80,,,
A Wyona Larson St. Catherine’s  12:33.31,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Michele Carter,Los Alamos,15.83,
AAA Lynne Frey,Tucumcari,15.36,
AA Danette Birdwell,Clayton,16.57,
A Denise Lightfoot,Corona,16.81,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Sandra Crowe,Alamogordo,45.13,
AAA Michelle Minica,Tucumcari,45.96,
AA Niki Tapia,Menaul,48.73,
A Leslie Steward,Texico,48.42,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,48.88,
AAA,Robertson,50.13,
AA,Clayton,51.61,
A,Tatum,51.59,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Clovis,01:43.2,
AAA,Robertson,01:46.9,
AA,Eunice,01:49.0,
A,Tatum,01:44.3,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Roswell,04:17.3,
AAA,Robertson,04:18.1,
AA,Clayton,04:31.8,
A,Fort Sumner,04:25.2,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Clovis,04:01.7,
AAA,St. Pius,04:03.8,
AA,Clayton,04:16.0,
A,Tatum,04:03.1,
Shot Put,,,
Class Name,,School,Distance
AAAA  Darian Goldsmith,,Alamogordo,38’-07.25”
AAA Lola Griffin,,Portales,38’-10.50”
AA Jodie Orlynda,,Crownpoint,36’-05.00”
A Debbie Fury,,Grady,36’-03.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Dee Dee Hodge,,Del Norte,117’-07.00”
AAA Rachel Langemeier,,Socorro,124’-05.00”
AA Jodie Orlynda,,Crownpoint,106’-04.75”
A Twilla Longo,,Texico,105’-11.50”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Lisa Gill,,Eldorado,17’-02.75”
AAA Tracy Spence,,Aztec,17’-11.50”
AA Susanne Sack,,Eunice,16’-00.75”
A Kelli Thurman,,Elida,16’-09.00”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Mary Lee White,,Santa Fe,5’-06.00”
AAA Lynne Frey,,Tucumcari,5’-08.50”
AA Nezbab Penn,,Navajo Academy,5’-04.00”
A Name,,,
1986 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Rona Thompson  Eldorado 12.46,,,
AAA Tracy SpenceAztec 12.73,,,
AA Jerri CordovaSanta Rosa  13.02,,,
A Tina Brooks Tatum  12.59,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Rona Thompson Eldorado 25.30,,,
AAA Tracy Spence Aztec 25.72,,,
AA Jerri CordovaSanta Rosa  26.77,,,
A Dana Clark Fort Sumner 26.69,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Gina Padilla  Valley  57.48,,,
AAA Amy Bellah Lovington 58.07,,,
AA Sandy Dabovich Clayton 59.61,,,
A Joey Hilburn Tatum  59.57,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Melissa Weaver Sandia  2:19.75,,,
AAA Rachel Maclehose Albuquerque Academy 2:23.33,,,
AA Roxanne Lujan  Estancia  2:32.04,,,
A Becky Huey  Capitan  2:31.23,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Cindy HerhanSandia  5:09.64,,,
AAA Paula Hannaweeke Zuni 5:28.38,,,
AA Roxanne Lujan  Estancia 5:34.04,,,
A Carol Clark Fort Sumner 5:50.85,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Cindy Herhan  Sandia  11:33.83,,,
AAA Paula Hannaweeke Zuni 11:45.81,,,
AA Juana Natseway Laguna-Acoma 12:09.95,,,
A Mary Romero  Corona 12:55.60,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Ann Frost,Farmington,14.28,
AAA Phyllis Sategna,Bloomfield,16.18,
AA Jamie Morales,Dexter,16.26,
A Jana Harris,Capitan,16.25,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Sandia Crowe,Alamogordo,44.7,
AAA Rosemary Hobby,Goddard,46.26,
AA Nicki Tapia,Menaul,48.51,
A Jana Harris,Capitan,46.66,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Highland,48.68,
AAA,Lovington,50.67,
AA,Santa Rosa,51.78,
A,Tatum,50.42,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Eldorado,01:42.5,
AAA,St. Pius X,01:46.5,
AA,Clayton,01:49.9,
A,Tatum,01:44.3,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Eldorado,04:16.8,
AAA,Silver City,04:26.1,
AA,Clayton,04:29.7,
A,Fort Sumner,04:26.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Eldorado,04:02.9,
AAA,Silver City,04:08.5,
AA,Clayton,04:18.4,
A,Tatum,04:17.6,
Shot Put,,,
Class Name,,School,Distance
AAAA  Lisa Longerot,,Sandia,38’-10.00”
AAA Michelle Harrington,,Hot Springs,39’-03.50”
AA Jodie Orlynda,,Crownpoint,33’-11.00”
A Pam Barnett,,Hagerman,36’-04.50”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Lisa Longerot,,Sandia,117’-4”
AAA Michelle Harrington,,Hot Springs,110’-11.00”
AA Monica Candelaria,,Dexter,109’-09.00”
A Michelle Clark,,Dora,109’-04.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Casandra White,,Hobbs,17’-6”
AAA Tracey Spence,,Aztec,17’-03.25”
AA Sandy Dabovich,,Clayton,16’-11.25”
A Kelli Thurman,,Elida,16’-07.25”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Mary White,,Santa Fe,5’-06.00”
AAA Shannon Ortiz,,Raton,5’-02.00”
AA Kelly Bagwell,,Animas,4’-10.00”
A Name,,,
1985 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Tori Florence Eldorado 12.02,,,
AAA Lilly Jones Lovington 12.66,,,
AA Jackie Kemp Jal 12.58,,,
A Toni Brooks  Tatum  12.18,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Terri Florence  Eldorado 25.06,,,
AAA Amy Bellah  Lovington 25.62,,,
AA Jackie Kemp Jal 25.80,,,
A Toni Brooks Tatum  25.40,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Tina Hodge  West Mesa 57.57,,,
AAA Amy Bellah  Lovington 58.89,,,
AA Jackie Kemp Jal 57.51,,,
A Beth Williams  Fort Sumner 61.19,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Carmen Richardson Eldorado 2:18.47,,,
AAA Michelle Montoya  Tucumcari 2:22.70,,,
AA Tina Childers Jal 2:24.32,,,
A Julie Pana  Fort Sumner 2:33.60,,,
,,,
1500 M Run,,,
Class Name School  Time,,,
AAAA  Yvette Horan Del Norte 4:43.35,,,
AAA Michelle Montoya Tucumcari 4:58.08,,,
AA Elizabeth Gonzales Peñasco 5:09.86,,,
A Rebecca Aragon Reserve 5:11.68,,,
,,,
3000 M Run,,,
Class Name School  Time,,,
AAAA  Verna WoodyGallup  10:13.20,,,
AAA Laura Macelhose Albuquerque Academy 11:05.15,,,
AA Elizabeth Gonzales Peñasco 11:04.21,,,
A Rebecca Aragon Reserve 11:39.50,,,
,,,
100 M Hurdles (30”),,,
Class Name,School,Time,
AAAA  Sandra Crow,Alamogordo,14.7,
AAA Lynne Frey,Tucumcari,14.94,
AA Jackie Kemp,Jal,14.97,
A Jana Harris,Capitan,17.75,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Sandra Crow,Alamogordo,44.91,
AAA Rosemary Hobby,Goddard,47.1,
AA Marie Gonzales,Springer,49.41,
A Susan Widner,Floyd,47.95,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Eldorado,48.79,
AAA,Lovington,50.59,
AA,Hope,51.81,
A,Tatum,50.3,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Eldorado,01:43.9,
AAA,Tucumcari,01:47.1,
AA,Clayton,01:50.8,
A,Tatum,01:44.3,
,,,
800 M Relay Medley,,,
Class,School,Time,
AAAA,Eldorado,01:50.7,
AAA,Lovington,01:52.6,
AA,Santa Rosa,01:57.8,
A,Tatum,01:53.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Eldorado,04:01.1,
AAA,Lovington,04:04.1,
AA,Santa Rosa,04:13.7,
A,Fort Sumner,04:11.9,
Shot Put,,,
Class Name,,School,Distance
AAAA  Renee Berry,,Hobbs,40’-07.75”
AAA Wendy Miller,,Hot Springs,42’-05.00
AA Rachelle Birdwell,,Clayton,35’-04.25”
A Pam Barnett,,Hagerman,36’-09.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Lisa Longerat,,Sandia,124’-04.00”
AAA Wendy Miller,,Hot Springs,128’-01.00”
AA Armida Herrera,,Eunice,100’-04.00
A Sheryl Scott,,Texico,107’-00.50
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Casssandra White,,Hobbs,19’-02.25”
AAA Lynne Frey,,Tucumcari,17’-06.75”
AA Jackie Kemp,,Jal,17’-01.00”
A Toni Brooks,,Tatum,18’-01.00”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Carolyn Unglaub,,Mayfield,5’-02.00”
AAA Lynne Frey,,Tucumcari,5’-06.00”
AA Monica Lamberson,,Thoreau,5’-00.00”
A Roxanna Pergeson,,Tatum,5’-02.00”
1984 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Terry Florence  Eldorado 12.19,,,
AAA Renea O’Neal  Lovington 12.47,,,
AA Suzanne Hendrix Escalante  12.61,,,
A Toni Brooks Tatum  12.80,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Terry Florence  Eldorado 24.44,,,
AAA Amy Bellah  Lovington  25.10,,,
AA Jackie Kemp Jal 26.80,,,
A Name,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Rita GoldstonManzano 57.58,,,
AAA Amy Bellah  Lovington  58.54,,,
AA Jackie Kemp Jal 60.31,,,
A Joey Hilburn  Tatum60.35,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Lisa Valle Alamogordo 2:22.63,,,
