2007 Girls Track & Field State Champions,x,x,x
Class Name,School,Time,
AAAAA Caroline Lewiecki,Manzano,11:24.6,
AAAA  Julia Foster,Albuquerque Academy,11.23.52,
AAA Kate Norskog,St. Michael’s,11:48.3,
AA Caroline Kaufman,East Mountain,12:03.5,
A Christa Boyle,Fort Sumner,12:21.7,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Natalie Castallenos,Gadsden,15.35,
AAAA  Shantel Foutz,Kirtland Central,15.15,
AAA Maya McGowen,St. Michael’s,16.58,
AA Erin Thomas,Estancia,17.11,
A Ashley Landreth,Fort Sumner,16.04,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Danielle Vigil,Cleveland,45.69,
AAAA  Jessica Scherrer,Del Norte,45.11,
AAA Staci Mitchell,Ruidoso,48.21,
AA Brooke Hamilton,Rehoboth,48.36,
A Ashley Landreth,Fort Sumner,47.01,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Mayfield,49.44,
AAAA,Los Alamos,49.05,
AAA,Sandia Prep,49.83,
AA,Cuba,52.63,
A,Fort Sumner,52.4,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,01:42.3,
AAAA,Aztec,01:45.0,
AAA,Hope Christian,01:48.0,
AA,Texico,01:50.6,
A,Fort Sumner,01:51.3,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Eldorado,04:19.9,
AAAA,Valencia,04:18.7,
AAA,Robertson,04:29.8,
AA,Estancia,04:27.0,
A,Gateway Christian,04:39.6,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,03:56.7,
AAAA,Los Alamos,04:03.1,
AAA,Hope Christian,04:07.3,
AA,Santa Fe Prep,04:12.3,
A,Fort Sumner,04:15.9,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Marivel Garza,Clovis,36’-11.75”,
AAAA  Chase Ealey,Los Alamos,42’-03.75”,
AAA Haley Gansz,Raton,35’-07.00”,
AA Adrienne Trujillo,Clayton,38’-02.75”,
A Tori Tucker,Floyd,34’-03.50”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Jaden Ortiz,Sandia,111-09”,
AAAA  Alexis Aguirre,Artesia,108’-11”,
AAA Danielle Gurule,West Las Vegas,109’-02”,
AA Kayla Cox,Texico,103’-02”,
A Madison Coss,Cimarron,124’-04”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Anicka Newell,Highland,17’-09.00”,
AAAA  Michelle Traynham,Valencia,17’-05.00”,
AAA Amanda Babicke,Pojoaque,17’-04.00”,
AA Yeshemabet Turner,Pecos,17’-09.75”,
A Cara Barnard,Melrose,17’-01.50”,
High Jump,,,
Class Name,,School,Distance
AAAAA Cassie House,,Cleveland,5’-04.00”
AAAA  Nicole Jenrette,,Los Lunas,5’-04.00”
AAA Jenna Sievers,,Portales,5’-05.00”
AA Yeshemabet Turner,,Pecos,5’-04.00”
A Caley Barnard,,Melrose,5’-00.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Regina Okoye,,Eldorado,36’-09.25”
AAAA  Meghan Gerry,,Albuquerque Academy,35’-06.50”
AAA Aasha Marler,,Hope Christian,39’-07.00”
AA Yeshemabet Turner,,Pecos,37’-07.75”
A Caley Barnard,,Melrose,34’-03.75
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Anicka Newell,,Highland,11’-06.00”
AAAA  Brittany Faverino-Johnson,,Piedra Vista,10”-06.00”
AAA Sarai Clendenin,,Hot Springs,9’-06.00”
AA Dusti-Rae Eldridge,,Capitan,9’-00.00”
A Annie Stirling,,Cimarron,12’-01.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Britni Jo Smith,,Carlsbad,134’-11”
