2007 Boys Track & Field State Champions,x,x,x
AAAA  Dakarai McCoy,Albuquerque Academy,21’-02.25”,
AAA Estevan Vigil,Robertson,21’-11.75”,
AA Chris Simpson,Cloudcroft,21’-01.00”,
A Clint Barnard,Melrose,21’-07.00”,
High Jump,,,
Class Name,,School,Distance
AAAAA Brandon Garner,,Oñate,6’-08.00”
AAAA  Joe Kloeppel,,Bernalillo,6’-04.00”
AAA Saul Guevara,,Lovington,6’-02.00”
AA Junior Caraza,,Eunice,6’-04.00”
A Aaron Martinez,,Mosquero,5’-09.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Warrick Campbell,,Highland,47’-06.75”
AAAA  Dakarai McCoy,,Albuquerque Academy,45’-04.50”
AAA Roy Tabor,,Lovington,42’-08.50”
AA Junior Caraza,,Eunice,42’-06.25”
A Clint Barnard,,Melrose,42’.07.50”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Dave Bevins,,Rio Rancho,15’-06.00”
AAAA  David Feddema,,Albuquerque Academy,14”-00.00”
AAA Ricardo Antillon,,Lovington,12’-06.00”
AA Trevor Thompson,,Jal,13’-02.00”
A Kolter West,,Fort Sumner,10’-06.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Matt Greer,,La Cueva,180’-08.00”
AAAA  Josh Houghtaling,,Artesia,172’-08.00”
AAA Estevan Vigil,,Robertson,155’-06.00”
AA Chris Sanchez,,Santa Rosa,172’.01.00”
A Junior Hernandez,,Cliff,173’-11.00”
2011 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Adren Britton  Cleveland 11.04,,,
AAAA  Nick Waterhouse Piedra Vista 11.37,,,
AAA CJ Berryman Pojoaque 11.22,,,
AA Wendell Hayes Lordsburg 11.14,,,
A Malik Anderson Jal 11.37,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Jonathan Gallegos La Cueva 22.53,,,
AAAA  Nick Waterhouse Piedra Vista 22.80,,,
AAA CJ Berryman Pojoaque 23.42,,,
AA Wendell Hayes Lordsburg 22.79,,,
A Mike Urioste Clovis Christian 23.06,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Chris Cline West Mesa 48.23,,,
AAAA  Andy Thoma Los Alamos 49.04,,,
AAA Patrick Martinez Taos 50.32,,,
AA Junior Caraza  Eunice  50.97,,,
A Malik Anderson Jal 50.25,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Kendall McVey Cibola  1:55.92,,,
AAAA  Eduardo Lash  Gallup  1:56.90,,,
AAA Eric Fenton Hope Christian 1:56.33,,,
AA Sean Sanchez  Peñasco 2:01.68,,,
A Skylar McMath Fort Sumner 2:04.92,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Luis Martinez  Cleveland 4:24.26,,,
